console,title,href
n64,007 - GoldenEye (Europe),/Nintendo_64_ROMs/007_-_GoldenEye_(Europe)/39543
n64,007 - GoldenEye (Japan),/Nintendo_64_ROMs/007_-_GoldenEye_(Japan)/39544
n64,007 - GoldenEye (USA),/Nintendo_64_ROMs/007_-_GoldenEye_(USA)/39545
n64,"007 - The World Is Not Enough (Europe) (En,Fr,De)","/Nintendo_64_ROMs/007_-_The_World_Is_Not_Enough_(Europe)_(En,Fr,De)/39546"
n64,007 - The World Is Not Enough (USA),/Nintendo_64_ROMs/007_-_The_World_Is_Not_Enough_(USA)/39547
n64,"1080 Snowboarding (Europe) (En,Ja,Fr,De)","/Nintendo_64_ROMs/1080_Snowboarding_(Europe)_(En,Ja,Fr,De)/39548"
n64,"1080 Snowboarding (Japan, USA) (En,Ja)","/Nintendo_64_ROMs/1080_Snowboarding_(Japan,_USA)_(En,Ja)/39549"
n64,"40 Winks (Europe) (En,Es,It) (Proto)","/Nintendo_64_ROMs/40_Winks_(Europe)_(En,Es,It)_(Proto)/39550"
n64,64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan),/Nintendo_64_ROMs/64_de_Hakken!!_Tamagotchi_-_Minna_de_Tamagotchi_World_(Japan)/39551
n64,64 Hanafuda - Tenshi no Yakusoku (Japan),/Nintendo_64_ROMs/64_Hanafuda_-_Tenshi_no_Yakusoku_(Japan)/39552
n64,64 Oozumou (Japan),/Nintendo_64_ROMs/64_Oozumou_(Japan)/39554
n64,64 Oozumou 2 (Japan),/Nintendo_64_ROMs/64_Oozumou_2_(Japan)/39553
n64,64 Trump Collection - Alice no Wakuwaku Trump World (Japan),/Nintendo_64_ROMs/64_Trump_Collection_-_Alice_no_Wakuwaku_Trump_World_(Japan)/39555
n64,"AeroFighters Assault (Europe) (En,Fr,De)","/Nintendo_64_ROMs/AeroFighters_Assault_(Europe)_(En,Fr,De)/39556"
n64,AeroFighters Assault (USA),/Nintendo_64_ROMs/AeroFighters_Assault_(USA)/39557
n64,"AeroGauge (Europe) (En,Fr,De)","/Nintendo_64_ROMs/AeroGauge_(Europe)_(En,Fr,De)/39558"
n64,AeroGauge (Japan) (Kiosk Demo),/Nintendo_64_ROMs/AeroGauge_(Japan)_(Kiosk_Demo)/39559
n64,AeroGauge (Japan) (Rev A),/Nintendo_64_ROMs/AeroGauge_(Japan)_(Rev_A)/39560
n64,AeroGauge (USA),/Nintendo_64_ROMs/AeroGauge_(USA)/39561
n64,AI Shougi 3 (Japan),/Nintendo_64_ROMs/AI_Shougi_3_(Japan)/39566
n64,Aidyn Chronicles - The First Mage (Europe),/Nintendo_64_ROMs/Aidyn_Chronicles_-_The_First_Mage_(Europe)/39562
n64,Aidyn Chronicles - The First Mage (USA),/Nintendo_64_ROMs/Aidyn_Chronicles_-_The_First_Mage_(USA)/39563
n64,Air Boarder 64 (Europe),/Nintendo_64_ROMs/Air_Boarder_64_(Europe)/39564
n64,Air Boarder 64 (Japan),/Nintendo_64_ROMs/Air_Boarder_64_(Japan)/39565
n64,Akumajou Dracula Mokushiroku - Real Action Adventure (Japan),/Nintendo_64_ROMs/Akumajou_Dracula_Mokushiroku_-_Real_Action_Adventure_(Japan)/39568
