console,title,href
nes,'89 Dennou Kyuusei Uranai (Japan),/Nintendo_Entertainment_System_ROMs/'89_Dennou_Kyuusei_Uranai_(Japan)/54677
nes,[Aladdin] Dizzy the Adventurer (USA) (Unl),/Nintendo_Entertainment_System_ROMs/[Aladdin]_Dizzy_the_Adventurer_(USA)_(Unl)/54750
nes,"[Aladdin] Fantastic Adventures of Dizzy, The (USA) (Unl)","/Nintendo_Entertainment_System_ROMs/[Aladdin]_Fantastic_Adventures_of_Dizzy,_The_(USA)_(Unl)/54752"
nes,[Aladdin] Micro Machines (USA) (Unl),/Nintendo_Entertainment_System_ROMs/[Aladdin]_Micro_Machines_(USA)_(Unl)/54753
nes,[BIOS] Game Master Kid (Proto),/Nintendo_Entertainment_System_ROMs/[BIOS]_Game_Master_Kid_(Proto)/54939
nes,[RAM] Game Master Kid (Proto),/Nintendo_Entertainment_System_ROMs/[RAM]_Game_Master_Kid_(Proto)/56664
nes,10-Yard Fight (Japan),/Nintendo_Entertainment_System_ROMs/10-Yard_Fight_(Japan)/54660
nes,"10-Yard Fight (USA, Europe)","/Nintendo_Entertainment_System_ROMs/10-Yard_Fight_(USA,_Europe)/54661"
nes,100 Man Dollar Kid - Maboroshi no Teiou Hen (Japan),/Nintendo_Entertainment_System_ROMs/100_Man_Dollar_Kid_-_Maboroshi_no_Teiou_Hen_(Japan)/54659
nes,"1942 (Japan, USA)","/Nintendo_Entertainment_System_ROMs/1942_(Japan,_USA)/54662"
nes,1943 - The Battle of Midway (Japan) (Beta),/Nintendo_Entertainment_System_ROMs/1943_-_The_Battle_of_Midway_(Japan)_(Beta)/54663
nes,1943 - The Battle of Midway (USA),/Nintendo_Entertainment_System_ROMs/1943_-_The_Battle_of_Midway_(USA)/54664
nes,1943 - The Battle of Valhalla (Japan),/Nintendo_Entertainment_System_ROMs/1943_-_The_Battle_of_Valhalla_(Japan)/54665
nes,1991 Du Ma Racing (Asia) (Unl),/Nintendo_Entertainment_System_ROMs/1991_Du_Ma_Racing_(Asia)_(Unl)/54666
nes,"1999 - Hore, Mitakotoka! Seikimatsu (Japan)","/Nintendo_Entertainment_System_ROMs/1999_-_Hore,_Mitakotoka!_Seikimatsu_(Japan)/54667"
nes,2 in 1 Lightgun Game - Cosmocop + Cyber Monster (Asia) (Unl),/Nintendo_Entertainment_System_ROMs/2_in_1_Lightgun_Game_-_Cosmocop_+_Cyber_Monster_(Asia)_(Unl)/54668
nes,2 in 1 Lightgun Game - Tough Cop + Super Tough Cop (Asia) (Unl),/Nintendo_Entertainment_System_ROMs/2_in_1_Lightgun_Game_-_Tough_Cop_+_Super_Tough_Cop_(Asia)_(Unl)/54669
nes,3 in 1 Supergun (Asia) (Unl),/Nintendo_Entertainment_System_ROMs/3_in_1_Supergun_(Asia)_(Unl)/54673
nes,"3-D Battles of World Runner, The (USA)","/Nintendo_Entertainment_System_ROMs/3-D_Battles_of_World_Runner,_The_(USA)/54670"
nes,3-D Block (Asia) (Unl) (Hwang Shinwei),/Nintendo_Entertainment_System_ROMs/3-D_Block_(Asia)_(Unl)_(Hwang_Shinwei)/54671
nes,3-D Block (Asia) (Unl) (RCM Group),/Nintendo_Entertainment_System_ROMs/3-D_Block_(Asia)_(Unl)_(RCM_Group)/54672
nes,4 Nin Uchi Mahjong (Japan),/Nintendo_Entertainment_System_ROMs/4_Nin_Uchi_Mahjong_(Japan)/54675
nes,4 Nin Uchi Mahjong (Japan) (Rev A),/Nintendo_Entertainment_System_ROMs/4_Nin_Uchi_Mahjong_(Japan)_(Rev_A)/54674
nes,720 (USA),/Nintendo_Entertainment_System_ROMs/720_(USA)/54676
nes,8 Eyes (Japan),/Nintendo_Entertainment_System_ROMs/8_Eyes_(Japan)/54678
nes,8 Eyes (USA),/Nintendo_Entertainment_System_ROMs/8_Eyes_(USA)/54679
nes,A Ressha de Ikou (Japan),/Nintendo_Entertainment_System_ROMs/A_Ressha_de_Ikou_(Japan)/54782
nes,Aa Yakyuu Jinsei Icchokusen (Japan),/Nintendo_Entertainment_System_ROMs/Aa_Yakyuu_Jinsei_Icchokusen_(Japan)/54680
nes,Abadox (Japan),/Nintendo_Entertainment_System_ROMs/Abadox_(Japan)/54681
nes,Abadox (USA),/Nintendo_Entertainment_System_ROMs/Abadox_(USA)/54682
nes,Abarenbou Tengu (Japan),/Nintendo_Entertainment_System_ROMs/Abarenbou_Tengu_(Japan)/54683
