console,title,href
sega_dreamcast,"102 Dalmatians, Disney's - Puppies to the Rescue (Europe)(Fr,De,It,Es)","/Sega_Dreamcast_ISOs/102_Dalmatians,_Disney's_-_Puppies_to_the_Rescue_(Europe)(Fr,De,It,Es)/51539"
sega_dreamcast,"102 Dalmatians, Disney's - Puppies to the Rescue (United Kingdom)","/Sega_Dreamcast_ISOs/102_Dalmatians,_Disney's_-_Puppies_to_the_Rescue_(United_Kingdom)/182268"
sega_dreamcast,"102 Dalmatians, Disney's - Puppies to the Rescue (USA)","/Sega_Dreamcast_ISOs/102_Dalmatians,_Disney's_-_Puppies_to_the_Rescue_(USA)/1"
sega_dreamcast,"18 Wheeler - American Pro Trucker (Europe)(En,De,Fr,Es)","/Sega_Dreamcast_ISOs/18_Wheeler_-_American_Pro_Trucker_(Europe)(En,De,Fr,Es)/51540"
sega_dreamcast,18 Wheeler - American Pro Trucker (Japan),/Sega_Dreamcast_ISOs/18_Wheeler_-_American_Pro_Trucker_(Japan)/182266
sega_dreamcast,18 Wheeler - American Pro Trucker (USA),/Sega_Dreamcast_ISOs/18_Wheeler_-_American_Pro_Trucker_(USA)/2
sega_dreamcast,21 Two One (Japan),/Sega_Dreamcast_ISOs/21_Two_One_(Japan)/182267
sega_dreamcast,2D House of Terror (World) [English Translated],/Sega_Dreamcast_ISOs/2D_House_of_Terror_(World)_[English_Translated]/182619
sega_dreamcast,2D House of Terror (World) [Español Translated],/Sega_Dreamcast_ISOs/2D_House_of_Terror_(World)_[Español_Translated]/182620
sega_dreamcast,"4 Wheel Thunder (Europe)(En,Fr)","/Sega_Dreamcast_ISOs/4_Wheel_Thunder_(Europe)(En,Fr)/51541"
sega_dreamcast,4 Wheel Thunder (USA),/Sega_Dreamcast_ISOs/4_Wheel_Thunder_(USA)/3
sega_dreamcast,4x4 Evolution (USA),/Sega_Dreamcast_ISOs/4x4_Evolution_(USA)/4
sega_dreamcast,"90 Minutes - Sega Championship Football (Europe)(En,Fr,De,It,Es)","/Sega_Dreamcast_ISOs/90_Minutes_-_Sega_Championship_Football_(Europe)(En,Fr,De,It,Es)/51542"
sega_dreamcast,Action Replay CDX (PAL),/Sega_Dreamcast_ISOs/Action_Replay_CDX_(PAL)/51544
sega_dreamcast,Action Replay CDX Demo Version (PAL),/Sega_Dreamcast_ISOs/Action_Replay_CDX_Demo_Version_(PAL)/51543
sega_dreamcast,Action Replay CDX Retail (PAL),/Sega_Dreamcast_ISOs/Action_Replay_CDX_Retail_(PAL)/51545
sega_dreamcast,Action Replay CDX V3.0 French (PAL),/Sega_Dreamcast_ISOs/Action_Replay_CDX_V3.0_French_(PAL)/51546
sega_dreamcast,Advanced Daisenryaku - Sturm uber Europa - Der Deutsche Blitzkrieg (Japan),/Sega_Dreamcast_ISOs/Advanced_Daisenryaku_-_Sturm_uber_Europa_-_Der_Deutsche_Blitzkrieg_(Japan)/99363
sega_dreamcast,Advanced Daisenryaku 2001 (Japan),/Sega_Dreamcast_ISOs/Advanced_Daisenryaku_2001_(Japan)/182269
sega_dreamcast,Aero Dancing - Todoroki Taichoo no Himitsu Disk (Japan),/Sega_Dreamcast_ISOs/Aero_Dancing_-_Todoroki_Taichoo_no_Himitsu_Disk_(Japan)/182270
sega_dreamcast,Aero Dancing F - Todoroki Tsubasa no Hatsu Hikou (Japan),/Sega_Dreamcast_ISOs/Aero_Dancing_F_-_Todoroki_Tsubasa_no_Hatsu_Hikou_(Japan)/182271
sega_dreamcast,Aero Dancing F (Japan),/Sega_Dreamcast_ISOs/Aero_Dancing_F_(Japan)/99365
sega_dreamcast,Aero Dancing Featuring Blue Impulse (Japan),/Sega_Dreamcast_ISOs/Aero_Dancing_Featuring_Blue_Impulse_(Japan)/99364
sega_dreamcast,Aero Dancing i - Jikai Saku Made Matemasen (Japan),/Sega_Dreamcast_ISOs/Aero_Dancing_i_-_Jikai_Saku_Made_Matemasen_(Japan)/99366
sega_dreamcast,Aero Dancing i (Japan),/Sega_Dreamcast_ISOs/Aero_Dancing_i_(Japan)/182272
sega_dreamcast,"AeroWings (Europe)(En,Fr,De)","/Sega_Dreamcast_ISOs/AeroWings_(Europe)(En,Fr,De)/51548"
sega_dreamcast,AeroWings (Japan),/Sega_Dreamcast_ISOs/AeroWings_(Japan)/182273
sega_dreamcast,AeroWings (USA),/Sega_Dreamcast_ISOs/AeroWings_(USA)/5
sega_dreamcast,"AeroWings 2 - Airstrike (Europe)(En,De)","/Sega_Dreamcast_ISOs/AeroWings_2_-_Airstrike_(Europe)(En,De)/51547"
sega_dreamcast,AeroWings 2 - Airstrike (USA),/Sega_Dreamcast_ISOs/AeroWings_2_-_Airstrike_(USA)/7
sega_dreamcast,After- - Wasureenu Kizuna (Japan) (Limited Edition),/Sega_Dreamcast_ISOs/After-_-_Wasureenu_Kizuna_(Japan)_(Limited_Edition)/182274
sega_dreamcast,Aikagi (Japan),/Sega_Dreamcast_ISOs/Aikagi_(Japan)/182275
sega_dreamcast,Air (Japan),/Sega_Dreamcast_ISOs/Air_(Japan)/182276
sega_dreamcast,Airforce Delta (Japan) (Genteiban),/Sega_Dreamcast_ISOs/Airforce_Delta_(Japan)_(Genteiban)/99367
sega_dreamcast,Airforce Delta (USA),/Sega_Dreamcast_ISOs/Airforce_Delta_(USA)/8
sega_dreamcast,Akihabara Dennou Gumi Pata Pies! (Japan),/Sega_Dreamcast_ISOs/Akihabara_Dennou_Gumi_Pata_Pies!_(Japan)/99368
sega_dreamcast,Alice's Moms Rescue,/Sega_Dreamcast_ISOs/Alice's_Moms_Rescue/182621
sega_dreamcast,AlienFront Online (USA),/Sega_Dreamcast_ISOs/AlienFront_Online_(USA)/9
sega_dreamcast,Alone in the Dark - The New Nightmare (France),/Sega_Dreamcast_ISOs/Alone_in_the_Dark_-_The_New_Nightmare_(France)/51549
sega_dreamcast,Alone in the Dark - The New Nightmare (Germany),/Sega_Dreamcast_ISOs/Alone_in_the_Dark_-_The_New_Nightmare_(Germany)/51550
sega_dreamcast,Alone in the Dark - The New Nightmare (Spain),/Sega_Dreamcast_ISOs/Alone_in_the_Dark_-_The_New_Nightmare_(Spain)/51551
sega_dreamcast,Alone in the Dark - The New Nightmare (United Kingdom),/Sega_Dreamcast_ISOs/Alone_in_the_Dark_-_The_New_Nightmare_(United_Kingdom)/51552
sega_dreamcast,Alone in the Dark - The New Nightmare (USA),/Sega_Dreamcast_ISOs/Alone_in_the_Dark_-_The_New_Nightmare_(USA)/10
sega_dreamcast,Angel Present (Japan),/Sega_Dreamcast_ISOs/Angel_Present_(Japan)/182277
sega_dreamcast,Animaster (Japan),/Sega_Dreamcast_ISOs/Animaster_(Japan)/182278
sega_dreamcast,Aoi Hagane no Kihei - Space Griffon (Japan),/Sega_Dreamcast_ISOs/Aoi_Hagane_no_Kihei_-_Space_Griffon_(Japan)/182279
sega_dreamcast,"Aqua GT (Europe)(En,Fr,De)","/Sega_Dreamcast_ISOs/Aqua_GT_(Europe)(En,Fr,De)/51553"
sega_dreamcast,Armada (USA),/Sega_Dreamcast_ISOs/Armada_(USA)/11
sega_dreamcast,"Army Men - Sarge's Heroes (Europe)(En,Fr,De,It,Es)","/Sega_Dreamcast_ISOs/Army_Men_-_Sarge's_Heroes_(Europe)(En,Fr,De,It,Es)/51554"
sega_dreamcast,Army Men - Sarge's Heroes (USA),/Sega_Dreamcast_ISOs/Army_Men_-_Sarge's_Heroes_(USA)/12
sega_dreamcast,Atari Anniversary Edition (USA),/Sega_Dreamcast_ISOs/Atari_Anniversary_Edition_(USA)/13
sega_dreamcast,Atsumare! GuruGuru Onsen (Japan),/Sega_Dreamcast_ISOs/Atsumare!_GuruGuru_Onsen_(Japan)/99369
