console,title,href
super_nintendo,'96 Zenkoku Koukou Soccer Senshuken (Japan),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/'96_Zenkoku_Koukou_Soccer_Senshuken_(Japan)/32787
super_nintendo,2020 Super Baseball (Japan),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/2020_Super_Baseball_(Japan)/32774
super_nintendo,2020 Super Baseball (USA),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/2020_Super_Baseball_(USA)/32775
super_nintendo,3 Jigen Kakutou Ballz (Japan),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/3_Jigen_Kakutou_Ballz_(Japan)/32776
super_nintendo,3 Ninjas Kick Back (USA),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/3_Ninjas_Kick_Back_(USA)/32777
super_nintendo,3x3 Eyes - Juuma Houkan (Japan),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/3x3_Eyes_-_Juuma_Houkan_(Japan)/32778
super_nintendo,3x3 Eyes - Seima Kourinden (Japan),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/3x3_Eyes_-_Seima_Kourinden_(Japan)/32779
super_nintendo,4 Nin Shougi (Japan),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/4_Nin_Shougi_(Japan)/32781
super_nintendo,46 Okunen Monogatari - Harukanaru Eden e (Japan),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/46_Okunen_Monogatari_-_Harukanaru_Eden_e_(Japan)/32780
super_nintendo,"7th Saga, The (USA)","/Super_Nintendo_Entertainment_System_(SNES)_ROMs/7th_Saga,_The_(USA)/32784"
super_nintendo,"7th Saga, The (USA) [Hack by James Skarzinskas v1.0] (Elnard's Balance Restauration)","/Super_Nintendo_Entertainment_System_(SNES)_ROMs/7th_Saga,_The_(USA)_[Hack_by_James_Skarzinskas_v1.0]_(Elnard's_Balance_Restauration)/32782"
super_nintendo,"7th Saga, The (USA) [Hack by Nati v1.0] (~7th Saga Redux)","/Super_Nintendo_Entertainment_System_(SNES)_ROMs/7th_Saga,_The_(USA)_[Hack_by_Nati_v1.0]_(~7th_Saga_Redux)/32783"
super_nintendo,90 Minutes - European Prime Goal (Europe),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/90_Minutes_-_European_Prime_Goal_(Europe)/32786
super_nintendo,90 Minutes - European Prime Goal (Europe) (Beta),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/90_Minutes_-_European_Prime_Goal_(Europe)_(Beta)/32785
super_nintendo,AAAHH!!! Real Monsters (Europe),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/AAAHH!!!_Real_Monsters_(Europe)/32788
super_nintendo,AAAHH!!! Real Monsters (USA),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/AAAHH!!!_Real_Monsters_(USA)/32789
super_nintendo,ABC Monday Night Football (Japan),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/ABC_Monday_Night_Football_(Japan)/32790
super_nintendo,ABC Monday Night Football (USA),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/ABC_Monday_Night_Football_(USA)/32791
super_nintendo,Accele Brid (Japan),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Accele_Brid_(Japan)/32793
super_nintendo,Accele Brid (Japan) [En by Aeon Genesis v1.0],/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Accele_Brid_(Japan)_[En_by_Aeon_Genesis_v1.0]/32792
super_nintendo,Ace o Nerae! (Japan),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Ace_o_Nerae!_(Japan)/32795
super_nintendo,Ace o Nerae! (Japan) [En by RPGOne v1.2] (~Aim for the Ace! - Ace Tennis),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Ace_o_Nerae!_(Japan)_[En_by_RPGOne_v1.2]_(~Aim_for_the_Ace!_-_Ace_Tennis)/32794
super_nintendo,ACME Animation Factory (Europe),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/ACME_Animation_Factory_(Europe)/32796
super_nintendo,ACME Animation Factory (USA),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/ACME_Animation_Factory_(USA)/32797
super_nintendo,Acrobat Mission (Japan),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Acrobat_Mission_(Japan)/32798
super_nintendo,Action Pachio (Japan),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Action_Pachio_(Japan)/32799
super_nintendo,ActRaiser (Europe),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/ActRaiser_(Europe)/32803
super_nintendo,ActRaiser (France),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/ActRaiser_(France)/32804
super_nintendo,ActRaiser (Germany),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/ActRaiser_(Germany)/32805
super_nintendo,ActRaiser (Japan),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/ActRaiser_(Japan)/32807
super_nintendo,ActRaiser (Japan) [En by Aeon Genesis v1.0],/Super_Nintendo_Entertainment_System_(SNES)_ROMs/ActRaiser_(Japan)_[En_by_Aeon_Genesis_v1.0]/32806
super_nintendo,ActRaiser (USA),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/ActRaiser_(USA)/32808
super_nintendo,ActRaiser 2 - Chinmoku e no Seisen (Japan),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/ActRaiser_2_-_Chinmoku_e_no_Seisen_(Japan)/32800
super_nintendo,"ActRaiser 2 (Europe) (En,Fr,De)","/Super_Nintendo_Entertainment_System_(SNES)_ROMs/ActRaiser_2_(Europe)_(En,Fr,De)/32801"
super_nintendo,ActRaiser 2 (USA),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/ActRaiser_2_(USA)/32802
super_nintendo,"Addams Family Values (Europe) (En,Fr,De)","/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Addams_Family_Values_(Europe)_(En,Fr,De)/32815"
super_nintendo,"Addams Family Values (USA) (En,Fr,De)","/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Addams_Family_Values_(USA)_(En,Fr,De)/32816"
super_nintendo,"Addams Family, The - Pugsley's Scavenger Hunt (Europe)","/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Addams_Family,_The_-_Pugsley's_Scavenger_Hunt_(Europe)/32811"
super_nintendo,"Addams Family, The - Pugsley's Scavenger Hunt (USA)","/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Addams_Family,_The_-_Pugsley's_Scavenger_Hunt_(USA)/32813"
super_nintendo,"Addams Family, The - Pugsley's Scavenger Hunt (USA) (Beta)","/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Addams_Family,_The_-_Pugsley's_Scavenger_Hunt_(USA)_(Beta)/32812"
super_nintendo,"Addams Family, The (Europe) (En,Fr,De)","/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Addams_Family,_The_(Europe)_(En,Fr,De)/32809"
super_nintendo,"Addams Family, The (Japan)","/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Addams_Family,_The_(Japan)/32810"
super_nintendo,"Addams Family, The (USA)","/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Addams_Family,_The_(USA)/32814"
super_nintendo,"Adventures of Batman & Robin, The (Europe)","/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Adventures_of_Batman_&_Robin,_The_(Europe)/32817"
super_nintendo,"Adventures of Batman & Robin, The (USA)","/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Adventures_of_Batman_&_Robin,_The_(USA)/32818"
super_nintendo,"Adventures of Dr. Franken, The (Europe) (En,Fr,De,Es,It,Nl,Sv)","/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Adventures_of_Dr._Franken,_The_(Europe)_(En,Fr,De,Es,It,Nl,Sv)/32819"
super_nintendo,"Adventures of Dr. Franken, The (USA)","/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Adventures_of_Dr._Franken,_The_(USA)/32820"
super_nintendo,"Adventures of Kid Kleets, The (USA) (En,Fr,Es)","/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Adventures_of_Kid_Kleets,_The_(USA)_(En,Fr,Es)/32821"
super_nintendo,"Adventures of Rocky and Bullwinkle and Friends, The (USA)","/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Adventures_of_Rocky_and_Bullwinkle_and_Friends,_The_(USA)/32822"
super_nintendo,"Adventures of Tintin, The - Prisoners of the Sun (Europe) (En,Fr,De,Es)","/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Adventures_of_Tintin,_The_-_Prisoners_of_the_Sun_(Europe)_(En,Fr,De,Es)/32823"
super_nintendo,Adventures of Yogi Bear (USA),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Adventures_of_Yogi_Bear_(USA)/32824
super_nintendo,Aero Fighters (USA),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Aero_Fighters_(USA)/32827
super_nintendo,Aero the Acro-Bat (Europe),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Aero_the_Acro-Bat_(Europe)/32830
super_nintendo,Aero the Acro-Bat (USA),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Aero_the_Acro-Bat_(USA)/32831
super_nintendo,Aero the Acro-Bat 2 (Europe),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Aero_the_Acro-Bat_2_(Europe)/32828
super_nintendo,Aero the Acro-Bat 2 (USA),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Aero_the_Acro-Bat_2_(USA)/32829
super_nintendo,Aerobiz (USA),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Aerobiz_(USA)/32826
super_nintendo,Aerobiz Supersonic (USA),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Aerobiz_Supersonic_(USA)/32825
super_nintendo,Aging Cassette (Japan),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Aging_Cassette_(Japan)/32832
super_nintendo,Aguri Suzuki F-1 Super Driving (Europe),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Aguri_Suzuki_F-1_Super_Driving_(Europe)/32833
super_nintendo,AIII S.V. - A Ressha de Ikou 3 Super Version (Japan),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/AIII_S.V._-_A_Ressha_de_Ikou_3_Super_Version_(Japan)/32834
super_nintendo,Air Cavalry (Europe),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Air_Cavalry_(Europe)/32835
super_nintendo,Air Cavalry (USA),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Air_Cavalry_(USA)/32836
super_nintendo,Air Management - Oozora ni Kakeru (Japan),/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Air_Management_-_Oozora_ni_Kakeru_(Japan)/32839
