title,rating_count,console,genres,average_rating
'89 Dennou Kyuusei Uranai,43,nes,Simulation,3.33
0 Story,92,ps2,Adventure,3.68
007 - Agent Under Fire,431,ps2,Action| Shooter| First-Person Shooter,4.22155452436195
007 - Everything Or Nothing,411,ps2,Action| Shooter| Vehicular Combat,4.383479318734793
007 - From Russia With Love,265,ps2,Action| Driving/Racing| Shooter,4.45
007 - Goldeneye,6382,n64,First-Person Shooter,4.3864869946725165
007 - Nightfire,578,ps2,Action| Adventure| Driving/Racing| Shooter| First-Person Shooter| Vehicular Combat,4.27287197231834
007 - Quantum Of Solace,274,ps2,Action| Shooter| First-Person Shooter,3.9916423357664237
007 - The World Is Not Enough,641,n64|ps_one,Action| First-Person Shooter,4.493619344773791
007 - Tomorrow Never Dies,313,ps_one,Action,4.267220447284345
007 Racing,105,ps_one,Action| Driving/Racing,4.17
10-Yard Fight,91,nes,Sports| Football,3.5518681318681313
102 Dalmatians Disney'S - Puppies To The Rescue,399,sega_dreamcast,Action| Adventure| Platformer,3.8026315789473686
1080 Snowboarding,244,n64,Sports| Snowboarding/Skiing,4.136311475409837
16 Tales 2,10,ps_one,Action| Adventure| Role-Playing,4.4
18 Wheeler - American Pro Trucker,470,sega_dreamcast|ps2,|Driving/Racing,4.014148936170213
187 - Ride Or Die,179,ps2,Action| Driving/Racing| Vehicular Combat,4.340223463687152
1942,113,nes,Shoot Em Up,4.13
1943 - The Battle Of Midway,152,nes,Shoot Em Up,4.3910526315789475
1991 Du Ma Racing,18,nes,Sports,3.83
1Xtreme,12,ps_one,Sports| Driving/Racing| Skateboarding,4.5
2002 Fifa World Cup,431,ps_one,Sports| Soccer,2.37
2020 Super Baseball,53,super_nintendo,Action| Sports| Simulation,4.286792452830189
21 Card Games,43,ps2,Card Game,4.02
24 - The Game,193,ps2,Action| Shooter,4.289326424870467
25 To Life,295,ps2,Action| Shooter,4.4491525423728815
2D House Of Terror,13,sega_dreamcast,Action| Shooter| Shoot Em Up,4.695384615384615
3 Ninjas Kick Back,46,super_nintendo|sega_megadrive,Action,3.938695652173913
3D Baseball,30,ps_one|sega_saturn,Baseball,4.367999999999999
3D Lemmings,56,ps_one|sega_saturn,|Puzzle,4.51875
3X3 Eyes - Juuma Houkan,12,super_nintendo,Action| Adventure,4.42
3X3 Eyes - Seima Kourinden,8,super_nintendo,Adventure| Role-Playing,4.5
4 Nin Uchi Mahjong,26,nes,Strategy,4.078461538461538
4 Wheel Thunder,304,sega_dreamcast,Driving/Racing,4.200032894736842
40 Winks,190,n64|ps_one,Action| Adventure| Platformer,4.500947368421053
4X4 Evo 2,55,ps2,Sports| Driving/Racing| Simulation,4.31
4X4 Evolution,302,sega_dreamcast|ps2,Driving/Racing| Simulation,4.078874172185431
50 Cent - Bulletproof,271,ps2,Action| Shooter,4.327232472324724
6 Inch My Darling,16,sega_saturn,Adventure,4.38
6-Pak,168,sega_megadrive,Compilation,4.67
64 Hanafuda - Tenshi No Yakusoku,13,n64,Card Game,4.54
688 Attack Sub,16,sega_megadrive,Simulation,4.69
7 Blades,44,ps2,Action-Adventure,4.41
7 Sins,897,ps2,Simulation,4.188929765886288
7 Wonders Of The Ancient World,46,ps2,Strategy| Puzzle,4.563478260869566
720,28,nes,Sports| Skateboarding,3.11
7Th Saga The,166,super_nintendo,Adventure| Role-Playing,4.559036144578313
8 Eyes,47,nes,Action| Adventure,3.8729787234042554
90 Minutes - European Prime Goal,50,super_nintendo,Soccer,4.1762
A Ressha De Ikou Md,12,sega_megadrive,Strategy| Simulation,4.08
A-Train,53,ps_one,Strategy| Simulation,4.64
A-Train 6,223,ps2,Strategy| Simulation,4.01
Aa Harimanada,12,sega_megadrive,Sports,4.17
Aa Yakyuu Jinsei Icchokusen,18,nes,Action| Strategy| Sports,4.22
Aaahh!!! Real Monsters,172,super_nintendo|sega_megadrive,Action| Platformer,4.061686046511628
Abadox,76,nes,Shoot Em Up,4.016578947368421
Abala Burn,40,ps_one,Fighting,4.6
Abc Monday Night Football,25,super_nintendo,Football,4.5992
Ac-Dc Live - Rock Band,56,ps2,Music/Rhythm,4.16
Accele Brid,19,super_nintendo,Action,4.686315789473684
Ace Combat,191,ps_one,Action| Simulation| Flight Simulator,4.23
Ace Combat - Squadron Leader,155,ps2,Action| Simulation| Flight Simulator,4.57
Ace Combat - The Belkan War,121,ps2,Action| Simulation| Flight Simulator,4.54
Ace Combat 04 - Shattered Skies,432,ps2,Action| Simulation| Flight Simulator,4.58
Ace Combat 2,631,ps_one,Action| Simulation| Flight Simulator,4.665103011093503
Ace Combat 3 - Electrosphere,1538,ps_one,Action| Simulation| Flight Simulator,4.3765864759427835
Ace Combat 5 - The Unsung War,1117,ps2,Action| Simulation| Flight Simulator,4.628773500447628
Ace Combat Zero - The Belkan War,597,ps2,Action| Simulation| Flight Simulator,4.62
Ace Lightning,31,ps2,Action| Adventure,4.35
Acme Animation Factory,26,super_nintendo,Minigame Collection,4.268461538461539
Aconcagua,33,ps_one,Action-Adventure,4.850303030303031
Acrobat Mission,20,super_nintendo,Shoot Em Up,4.05
Action 52,425,sega_megadrive|nes,Action| Adventure| Driving/Racing| Shooter| Minigame Collection| Platformer,2.622517647058823
Action Bass,52,ps_one,Fishing,4.651153846153846
Action Girlz Racing,50,ps2,Driving/Racing,4.08
Action Man - Mission Xtreme,49,ps_one,Action| Shooter| Vehicular Combat,4.39
Action Man - Operation Extreme,21,ps_one,Action| Shooter| Vehicular Combat,4.24
Action Pachio,10,super_nintendo,Action| Platformer,4.1
Activision Anthology,98,ps2,Action| Strategy| Sports| Driving/Racing| Simulation| Compilation,4.722551020408164
Actraiser,329,super_nintendo,Action| Simulation,4.588419452887538
Actraiser 2,119,super_nintendo,Action,4.578823529411765
Actua Golf,20,sega_saturn,Sports| Golf,4.35
Actua Golf 3,21,ps_one,Sports| Golf,3.8600000000000003
Actua Ice Hockey 2,16,ps_one,Sports| Hockey,4.5
Actua Soccer,79,ps_one,Sports| Soccer,3.5477215189873417
Actua Soccer 2,41,ps_one,Sports| Soccer,3.2900000000000005
Actua Soccer Club Edition,33,sega_saturn,Sports| Soccer,3.21
Actua Tennis,35,ps_one,Sports| Tennis,4.37
Addams Family The,245,super_nintendo|sega_megadrive|nes,Action| Platformer,4.238734693877551
Addams Family The - Pugsley'S Scavenger Hunt,116,super_nintendo|nes,Action| Platformer| Action-Adventure,3.932241379310345
Addams Family Values,70,super_nintendo|sega_megadrive,Action| Role-Playing,4.585
Adiboo And The Energy Thieves,30,ps2,Action| Educational,4.37
Adidas Power Soccer,40,ps_one,Sports| Soccer,4.425
Advan Racing,41,ps_one,Sports| Driving/Racing| Simulation,4.78
Advanced Busterhawk Gleylancer,42,sega_megadrive,Action| Shoot Em Up,4.666190476190477
Advanced Daisenryaku - Deutsch Dengeki Sakusen,62,sega_megadrive,Strategy,4.870967741935484
Advanced Daisenryaku 2001,31,sega_dreamcast,Strategy,4.74
Advanced Dungeons & Dragons - Dragons Of Flame,32,nes,Action| Adventure| Role-Playing,4.0646875
Advanced Dungeons & Dragons - Heroes Of The Lance,44,nes,Action| Role-Playing,3.7750000000000004
Advanced Dungeons & Dragons - Hillsfar,38,nes,Action| Role-Playing,3.9189473684210525
Advanced Dungeons & Dragons - Iron & Blood - Warriors Of Ravenloft,10,ps_one,Action| Fighting,4.2
Advanced Dungeons & Dragons - Pool Of Radiance,70,nes,Strategy| Role-Playing,4.202142857142857
Advanced V.G. 2,80,ps_one,Fighting,4.65
Advanced Variable Geo,38,ps_one,Fighting,4.47
Advanced Vg,51,sega_saturn,Fighting,4.53
Adventures In The Magic Kingdom,63,nes,Action| Adventure,3.857777777777778
Adventures Of Batman & Robin The,394,super_nintendo|sega_megadrive,Action| Adventure| Platformer,4.580406091370558
Adventures Of Bayou Billy The,45,nes,Action| Driving/Racing| Shooter| Brawler| Platformer,3.845555555555556
Adventures Of Captain Comic The,26,nes,Action| Platformer,4.23
Adventures Of Cookie & Cream The,99,ps2,Strategy| Adventure| Puzzle,4.6
Adventures Of Darwin The,76,ps2,Strategy,4.14
Adventures Of Dr. Franken The,54,super_nintendo|nes,|Action| Platformer,4.225185185185184
