console,title,average_rating,rating_count,genres
n64,007 - GoldenEye (Europe),4.41,540,['First-Person Shooter']
n64,007 - GoldenEye (Japan),4.48,252,['First-Person Shooter']
n64,007 - GoldenEye (USA),4.38,5590,['First-Person Shooter']
n64,"007 - The World Is Not Enough (Europe) (En,Fr,De)",4.48,73,"['Action', 'First-Person Shooter']"
n64,007 - The World Is Not Enough (USA),4.61,276,"['Action', 'First-Person Shooter']"
n64,"1080 Snowboarding (Europe) (En,Ja,Fr,De)",3.99,159,"['Sports', 'Snowboarding/Skiing']"
n64,"1080 Snowboarding (Japan, USA) (En,Ja)",4.41,85,"['Sports', 'Snowboarding/Skiing']"
n64,"40 Winks (Europe) (En,Es,It) (Proto)",4.59,49,"['Action', 'Adventure', 'Platformer']"
n64,64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan),4.56,27,[]
n64,64 Hanafuda - Tenshi no Yakusoku (Japan),4.54,13,['Card Game']
n64,64 Oozumou (Japan),4.89,9,[]
n64,64 Oozumou 2 (Japan),4.86,14,[]
n64,64 Trump Collection - Alice no Wakuwaku Trump World (Japan),1.73,52,[]
n64,"AeroFighters Assault (Europe) (En,Fr,De)",4.73,48,"['Simulation', 'Flight Simulator']"
n64,AeroFighters Assault (USA),4.25,105,"['Simulation', 'Flight Simulator']"
n64,"AeroGauge (Europe) (En,Fr,De)",4.78,32,"['Action', 'Driving/Racing']"
n64,AeroGauge (Japan) (Kiosk Demo),4.8,5,"['Action', 'Driving/Racing']"
n64,AeroGauge (Japan) (Rev A),3,22,"['Action', 'Driving/Racing']"
n64,AeroGauge (USA),4.54,35,"['Action', 'Driving/Racing']"
n64,AI Shougi 3 (Japan),4.33,9,[]
n64,Aidyn Chronicles - The First Mage (Europe),4.25,32,['Role-Playing']
n64,Aidyn Chronicles - The First Mage (USA),4.58,77,['Role-Playing']
n64,Air Boarder 64 (Europe),4.55,22,[]
n64,Air Boarder 64 (Japan),5,9,[]
n64,Akumajou Dracula Mokushiroku - Real Action Adventure (Japan),4.25,20,[]
n64,Akumajou Dracula Mokushiroku Gaiden - Legend of Cornell (Japan),4.52,21,[]
n64,"All Star Tennis '99 (Europe) (En,Fr,De,Es,It)",4.05,19,['Sports']
n64,All Star Tennis '99 (USA),4.67,15,['Sports']
n64,All-Star Baseball '99 (Europe),4.3,10,"['Sports', 'Simulation', 'Baseball']"
n64,All-Star Baseball '99 (USA),4.53,15,"['Sports', 'Simulation', 'Baseball']"
n64,All-Star Baseball 2000 (Europe),4.76,17,"['Sports', 'Simulation', 'Baseball']"
n64,All-Star Baseball 2000 (USA),4.23,26,"['Sports', 'Simulation', 'Baseball']"
n64,All-Star Baseball 2001 (USA),4.24,79,"['Sports', 'Simulation', 'Baseball']"
n64,Armorines - Project S.W.A.R.M. (Europe),4.33,21,"['Action', 'First-Person Shooter']"
n64,Armorines - Project S.W.A.R.M. (Germany),3.33,12,"['Action', 'First-Person Shooter']"
n64,Armorines - Project S.W.A.R.M. (USA),4.42,33,"['Action', 'First-Person Shooter']"
n64,Army Men - Air Combat (USA),4.25,53,"['Action', 'Strategy']"
n64,"Army Men - Sarge's Heroes (Europe) (En,Fr,De)",4.45,31,['Action']
n64,Army Men - Sarge's Heroes (USA),4.36,239,['Action']
n64,Army Men - Sarge's Heroes 2 (USA),4.2,158,['Action']
n64,Asteroids Hyper 64 (USA),4.39,18,"['Action', 'Shooter']"
n64,Automobili Lamborghini (Europe),4.44,27,['Driving/Racing']
n64,Automobili Lamborghini (USA),4.46,39,['Driving/Racing']
n64,Baku Bomberman (Japan),4.6,75,['Action']
n64,Baku Bomberman 2 (Japan),4.39,75,['Action']
n64,Bakuretsu Muteki Bangaioh (Japan),4.94,16,[]
n64,Bakushou Jinsei 64 - Mezase! Resort Ou (Japan),4.93,15,[]
n64,Banjo to Kazooie no Daibouken (Japan),4.54,79,[]
n64,Banjo to Kazooie no Daibouken 2 (Japan),4.52,98,[]
n64,"Banjo-Kazooie (Europe) (En,Fr,De)",4.62,766,"['Action', 'Adventure', 'Platformer']"
n64,Banjo-Kazooie (USA),4.54,2744,"['Action', 'Adventure', 'Platformer']"
n64,Banjo-Kazooie (USA) (Rev A),4.61,99,"['Action', 'Adventure', 'Platformer']"
n64,Banjo-Tooie (Australia),4.31,32,"['Platformer', 'Action-Adventure']"
n64,"Banjo-Tooie (Europe) (En,Fr,De,Es)",4.49,635,"['Platformer', 'Action-Adventure']"
n64,Banjo-Tooie (USA),4.5,1825,"['Platformer', 'Action-Adventure']"
n64,Bass Rush - ECOGEAR PowerWorm Championship (Japan),5,7,[]
n64,Bassmasters 2000 (USA),5,16,['Fishing']
n64,Batman Beyond - Return of the Joker (USA),4.46,59,"['Action', 'Adventure', 'Brawler']"
