console,title,average_rating,rating_count,genres
nes,'89 Dennou Kyuusei Uranai (Japan),3.33,43,['Simulation']
nes,[Aladdin] Dizzy the Adventurer (USA) (Unl),4.04,82,[]
nes,"[Aladdin] Fantastic Adventures of Dizzy, The (USA) (Unl)",3.9,21,[]
nes,[Aladdin] Micro Machines (USA) (Unl),3.62,21,[]
nes,[BIOS] Game Master Kid (Proto),4.44,39,[]
nes,[RAM] Game Master Kid (Proto),3.67,15,[]
nes,10-Yard Fight (Japan),3.92,24,"['Sports', 'Football']"
nes,"10-Yard Fight (USA, Europe)",3.42,67,"['Sports', 'Football']"
nes,100 Man Dollar Kid - Maboroshi no Teiou Hen (Japan),3.9,20,[]
nes,"1942 (Japan, USA)",4.13,113,"[""Shoot 'Em Up""]"
nes,1943 - The Battle of Midway (Japan) (Beta),3.96,26,"[""Shoot 'Em Up""]"
nes,1943 - The Battle of Midway (USA),4.48,126,"[""Shoot 'Em Up""]"
nes,1943 - The Battle of Valhalla (Japan),4.21,28,[]
nes,1991 Du Ma Racing (Asia) (Unl),3.83,18,['Sports']
nes,"1999 - Hore, Mitakotoka! Seikimatsu (Japan)",4.07,14,[]
nes,2 in 1 Lightgun Game - Cosmocop + Cyber Monster (Asia) (Unl),3.85,13,[]
nes,2 in 1 Lightgun Game - Tough Cop + Super Tough Cop (Asia) (Unl),3.6,15,[]
nes,3 in 1 Supergun (Asia) (Unl),4.17,12,[]
nes,"3-D Battles of World Runner, The (USA)",4.55,55,[]
nes,3-D Block (Asia) (Unl) (Hwang Shinwei),3.73,15,[]
nes,3-D Block (Asia) (Unl) (RCM Group),4,10,[]
nes,4 Nin Uchi Mahjong (Japan),4,14,['Strategy']
nes,4 Nin Uchi Mahjong (Japan) (Rev A),4.17,12,['Strategy']
nes,720 (USA),3.11,28,"['Sports', 'Skateboarding']"
nes,8 Eyes (Japan),4.21,14,"['Action', 'Adventure']"
nes,8 Eyes (USA),3.73,33,"['Action', 'Adventure']"
nes,A Ressha de Ikou (Japan),4.13,30,[]
nes,Aa Yakyuu Jinsei Icchokusen (Japan),4.22,18,"['Action', 'Strategy', 'Sports']"
nes,Abadox (Japan),3.78,18,"[""Shoot 'Em Up""]"
nes,Abadox (USA),4.09,58,"[""Shoot 'Em Up""]"
nes,Abarenbou Tengu (Japan),4.2,25,[]
nes,Aces - Iron Eagle 3 (Japan),4.06,18,[]
nes,Action 52 (USA) (Unl),2.57,311,"['Action', 'Adventure', 'Driving/Racing', 'Shooter', 'Minigame Collection', 'Platformer']"
nes,Action 52 (USA) (Unl) (Rev A),3.18,51,"['Action', 'Adventure', 'Driving/Racing', 'Shooter', 'Minigame Collection', 'Platformer']"
nes,Action in New York (Europe),4.08,24,[]
nes,"Addams Family, The - Pugsley's Scavenger Hunt (Europe)",3.52,21,"['Action', 'Platformer', 'Action-Adventure']"
nes,"Addams Family, The - Pugsley's Scavenger Hunt (Europe) (Beta)",4,10,"['Action', 'Platformer', 'Action-Adventure']"
nes,"Addams Family, The - Pugsley's Scavenger Hunt (USA)",3.44,32,"['Action', 'Platformer', 'Action-Adventure']"
nes,"Addams Family, The - Uncle Fester's Quest (Europe)",4.21,19,[]
nes,"Addams Family, The - Uncle Fester's Quest (USA)",4,61,[]
nes,"Addams Family, The - Uncle Fester's Quest (USA) (Beta)",4,10,[]
nes,"Addams Family, The (Europe) (En,Fr,De)",4.05,21,"['Action', 'Platformer']"
nes,"Addams Family, The (USA)",3.81,72,"['Action', 'Platformer']"
nes,Advanced Dungeons & Dragons - Dragon Strike (USA),4.13,24,[]
nes,Advanced Dungeons & Dragons - Dragons of Flame (Japan),4.07,15,"['Action', 'Adventure', 'Role-Playing']"
nes,Advanced Dungeons & Dragons - Dragons of Flame (Japan) [En by DvD v1.03],4.06,17,"['Action', 'Adventure', 'Role-Playing']"
nes,Advanced Dungeons & Dragons - Heroes of the Lance (Japan),3.91,11,"['Action', 'Role-Playing']"
nes,Advanced Dungeons & Dragons - Heroes of the Lance (USA),3.73,33,"['Action', 'Role-Playing']"
nes,Advanced Dungeons & Dragons - Hillsfar (Japan),3.83,12,"['Action', 'Role-Playing']"
nes,Advanced Dungeons & Dragons - Hillsfar (USA),3.96,26,"['Action', 'Role-Playing']"
nes,Advanced Dungeons & Dragons - Pool of Radiance (Japan),4.08,13,"['Strategy', 'Role-Playing']"
