console,title,average_rating,rating_count,genres
ps2,0 Story (Japan) (Taikenban),3.68,92,['Adventure']
ps2,"007 - Agent Under Fire (Europe) (En,Fr,De,Es,Nl,Sv)",4.27,170,"['Action', 'Shooter', 'First-Person Shooter']"
ps2,007 - Agent Under Fire (USA),4.19,261,"['Action', 'Shooter', 'First-Person Shooter']"
ps2,"007 - Everything or Nothing (Europe) (En,Es,It,Nl,Sv)",4.18,104,"['Action', 'Shooter', 'Vehicular Combat']"
ps2,"007 - Everything or Nothing (Europe) (Fr,De)",4.37,54,"['Action', 'Shooter', 'Vehicular Combat']"
ps2,007 - Everything or Nothing (USA),4.47,253,"['Action', 'Shooter', 'Vehicular Combat']"
ps2,"007 - From Russia with Love (Europe) (En,Fr,De,Es,It,Nl,Sv)",4.45,84,"['Action', 'Driving/Racing', 'Shooter']"
ps2,007 - From Russia with Love (USA),4.45,181,"['Action', 'Driving/Racing', 'Shooter']"
ps2,"007 - Nightfire (Europe) (De,Es)",3.92,98,"['Action', 'Adventure', 'Driving/Racing', 'Shooter', 'First-Person Shooter', 'Vehicular Combat']"
ps2,"007 - Nightfire (Europe) (En,Fr,It,Nl,Sv)",4.09,158,"['Action', 'Adventure', 'Driving/Racing', 'Shooter', 'First-Person Shooter', 'Vehicular Combat']"
ps2,007 - Nightfire (USA),4.47,322,"['Action', 'Adventure', 'Driving/Racing', 'Shooter', 'First-Person Shooter', 'Vehicular Combat']"
ps2,"007 - Quantum of Solace (Europe, Australia) (En,Fr,De,Es,It)",4.69,59,"['Action', 'Shooter', 'First-Person Shooter']"
ps2,007 - Quantum of Solace (USA),3.8,215,"['Action', 'Shooter', 'First-Person Shooter']"
ps2,"10 Pin - Champions Alley (Europe) (En,Fr,De,Es,It,Nl)",4.37,30,[]
ps2,"10.000 Bullets (Europe) (En,Fr,De,Es,It)",4.39,54,[]
ps2,10th Anniversary Memorial Save Data (Japan) (Disc 2) ('PlayStation 2 Taiou'),4.21,28,[]
ps2,"18 Wheeler - American Pro Trucker (Europe) (En,Fr,De,Es)",4.46,46,[]
ps2,18 Wheeler - American Pro Trucker (USA),4.37,110,[]
ps2,"187 - Ride or Die (Europe, Australia) (En,Fr,De,Es,It)",4.84,37,"['Action', 'Driving/Racing', 'Vehicular Combat']"
ps2,"187 - Ride or Die (USA) (En,Fr,Es)",4.21,142,"['Action', 'Driving/Racing', 'Vehicular Combat']"
ps2,"1945 I & II (Europe) (En,Fr,De,Es,It)",4.35,68,[]
ps2,"2002 FIFA World Cup Korea Japan (Europe) (En,Sv)",4.26,47,[]
ps2,2002 FIFA World Cup Korea Japan (France),4.54,35,[]
ps2,2002 FIFA World Cup Korea Japan (Germany),4.12,17,[]
ps2,2002 FIFA World Cup Korea Japan (Italy),4.41,17,[]
ps2,2002 FIFA World Cup Korea Japan (Spain),4.08,37,[]
ps2,21 Card Games (Europe),4.02,43,['Card Game']
ps2,"24 - The Game (Australia) (En,Fr,De,Es,It,Nl,Pl,Hu,Cs)",4,10,"['Action', 'Shooter']"
ps2,"24 - The Game (Europe) (En,Fr,De,Es,It,Nl,Pl,Hu,Cs)",4.24,34,"['Action', 'Shooter']"
ps2,"24 - The Game (USA) (En,Fr,Es)",4.32,149,"['Action', 'Shooter']"
ps2,25 to Life (Europe),4.62,151,"['Action', 'Shooter']"
ps2,25 to Life (USA),4.27,144,"['Action', 'Shooter']"
ps2,3 nen B gumi Kinpachi Sensei - Densetsu no Kyoudan ni Tate! Kanzenban (Japan),4.76,41,[]
ps2,"4x4 Evo 2 (Europe) (En,Fr,De)",4.31,55,"['Sports', 'Driving/Racing', 'Simulation']"
ps2,"4x4 Evolution (Europe) (En,Fr,De)",4.59,22,"['Driving/Racing', 'Simulation']"
ps2,4x4 Evolution (USA),4.25,76,"['Driving/Racing', 'Simulation']"
ps2,50 Cent - Bulletproof (Australia),4.6,10,"['Action', 'Shooter']"
ps2,50 Cent - Bulletproof (Europe),3.48,40,"['Action', 'Shooter']"
ps2,50 Cent - Bulletproof (France),4.92,13,"['Action', 'Shooter']"
ps2,50 Cent - Bulletproof (USA),4.44,208,"['Action', 'Shooter']"
ps2,"7 Blades (Europe) (En,Fr,De)",4.41,44,['Action-Adventure']
ps2,7 Sins (Europe),4.21,708,['Simulation']
ps2,"7 Sins (Europe) (Fr,Es,It)",4.11,189,['Simulation']
ps2,"7 Wonders of the Ancient World (Europe) (En,Fr,De,Es,It)",4.75,20,"['Strategy', 'Puzzle']"
ps2,7 Wonders of the Ancient World (USA),4.42,26,"['Strategy', 'Puzzle']"
ps2,"A-Train 6 (Europe) (En,Fr,De)",4.01,223,"['Strategy', 'Simulation']"
ps2,"AC-DC Live - Rock Band (Europe) (En,Fr,De,Es,It)",4.16,56,['Music/Rhythm']
ps2,AC-DC Live - Rock Band Track Pack (USA),4.21,61,[]
ps2,"Ace Combat - Distant Thunder (Europe, Australia) (En,Fr,De,Es,It)",4.36,156,[]
ps2,"Ace Combat - Squadron Leader (Europe, Australia) (En,Fr,De,Es,It)",4.57,155,"['Action', 'Simulation', 'Flight Simulator']"
ps2,"Ace Combat - The Belkan War (Europe, Australia) (En,Fr,De,Es,It)",4.54,121,"['Action', 'Simulation', 'Flight Simulator']"
ps2,Ace Combat 04 - Shattered Skies (USA),4.58,432,"['Action', 'Simulation', 'Flight Simulator']"
ps2,Ace Combat 5 - The Unsung War (Japan),4.61,418,"['Action', 'Simulation', 'Flight Simulator']"
ps2,"Ace Combat 5 - The Unsung War (USA) (En,Ja)",4.64,699,"['Action', 'Simulation', 'Flight Simulator']"
ps2,Ace Combat Zero - The Belkan War (USA),4.62,597,"['Action', 'Simulation', 'Flight Simulator']"
ps2,Ace Lightning (Europe),4.35,31,"['Action', 'Adventure']"
ps2,Aces of War (Europe),4.34,90,[]
ps2,Action Girlz Racing (Europe),4.08,50,['Driving/Racing']
ps2,"Action Man A.T.O.M. - Alpha Teens on Machines (Europe) (En,Fr,De,Es,It,Nl,No,Da,Fi)",4.29,38,[]
ps2,Activision Anthology (Europe),4.9,51,"['Action', 'Strategy', 'Sports', 'Driving/Racing', 'Simulation', 'Compilation']"
ps2,Activision Anthology (USA),4.53,47,"['Action', 'Strategy', 'Sports', 'Driving/Racing', 'Simulation', 'Compilation']"
ps2,"Adiboo and the Energy Thieves (Europe) (En,Fr,De,Es,It,Nl)",4.37,30,"['Action', 'Educational']"
ps2,"Adventures of Cookie & Cream, The (USA)",4.6,99,"['Strategy', 'Adventure', 'Puzzle']"
ps2,"Adventures of Darwin, The (USA)",4.14,76,['Strategy']
ps2,Aeon Flux (Europe),4.57,37,"['Action', 'Shooter', 'Puzzle']"
ps2,"Aeon Flux (Europe) (En,Fr,De,Es)",4.68,22,"['Action', 'Shooter', 'Puzzle']"
ps2,Aeon Flux (USA),4.14,50,"['Action', 'Shooter', 'Puzzle']"
ps2,Aero Elite - Combat Academy (USA),4.57,56,['Flight Simulator']
ps2,AFL Live - Premiership Edition (Australia),4.91,11,[]
ps2,AFL Live 2003 (Australia),4.25,28,"['Sports', 'Football']"
ps2,AFL Live 2004 - Aussie Rules Football (Europe),4.6,10,[]
ps2,AFL Live 2004 (Australia),4.38,16,"['Sports', 'Football']"
ps2,AFL Premiership 2005 (Australia),4.07,15,"['Sports', 'Football']"
ps2,AFL Premiership 2006 (Australia),4.75,12,"['Sports', 'Football']"
ps2,AFL Premiership 2007 (Australia),4.32,22,['Sports']
ps2,"Agassi Tennis Generation (Europe) (En,Fr,De,Es,It)",4.15,20,['Tennis']
ps2,Agassi Tennis Generation (USA),4.31,26,['Tennis']
ps2,"Age of Empires II - The Age of Kings (Europe) (En,Fr,De,Es,It) (v1.20)",4.35,178,"['Strategy', 'Real-Time Strategy']"
ps2,"Age of Empires II - The Age of Kings (Europe) (En,Fr,De,Es,It) (v2.00)",4.18,548,"['Strategy', 'Real-Time Strategy']"
ps2,"Agent Hugo - Hula Holiday (Europe) (En,Fr,De,Es,It,Nl,Pt)",4.05,42,['Platformer']
ps2,"Agent Hugo - Lemoon Twist (Europe) (En,Fr,De,Es,It,Nl,Pt)",4.29,35,['Platformer']
ps2,"Agent Hugo - RoboRumble (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)",4.25,24,"['Action', 'Driving/Racing']"
ps2,"Agent Hugo (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)",4.1,29,"['Action', 'Adventure']"
ps2,"Aggressive Inline (Europe) (En,Fr,De,Es)",4.66,29,['Sports']
ps2,Aggressive Inline (USA),4.67,61,['Sports']
ps2,Air Raid 3 (Europe),4.69,316,['Flight Simulator']
ps2,Air Ranger - Rescue Helicopter (Europe),4.76,45,['Flight Simulator']
ps2,"AirBlade (Europe, Australia) (En,Fr,De,Es,It)",4.64,25,"['Action', 'Sports', 'Driving/Racing']"
ps2,AirBlade (USA),3.98,53,"['Action', 'Sports', 'Driving/Racing']"
ps2,"Airborne Troops - Countdown to D-Day (Europe) (En,Fr,Es,It)",4.21,24,['Shooter']
ps2,Airborne Troops - Countdown to D-Day (USA),4.2,41,['Shooter']
ps2,AirForce Delta Strike (USA),4.47,103,['Action']
ps2,Akira Psycho Ball (Europe),4.9,31,['Pinball']
ps2,"Alan Hansen's Sports Challenge (Europe) (En,Fr,De,Es,It)",4.45,11,['Trivia/Board Game']
ps2,"Alarm for Cobra 11 - Vol. II (Europe) (En,De)",4.09,11,[]
ps2,"Alarm for Cobra 11 (Europe) (En,De)",4.75,16,['Driving/Racing']
ps2,Alarm for Cobra 11 Vol. 2 - Hot Pursuit (Europe),4.14,28,[]
ps2,Alex Ferguson's Player Manager 2001 (Europe),2.66,35,['Soccer']
ps2,Alfa Romeo Racing Italiano (USA),4.49,39,['Driving/Racing']
ps2,"Alias (Europe) (En,Fr,De,Es,It)",4.86,14,"['Action', 'Shooter']"
ps2,Alias (USA),4.47,47,"['Action', 'Shooter']"
ps2,"Alien Hominid (Australia) (En,Fr,De,Es,It,Nl)",4.25,16,"['Action', 'Shooter', 'Platformer']"
ps2,Alien Hominid (USA),4.51,109,"['Action', 'Shooter', 'Platformer']"
ps2,"Aliens in the Attic (Europe) (En,Fr,De,Es,It)",3.74,19,[]
ps2,Aliens Versus Predator - Extinction (Europe),4.28,846,"['Action', 'Strategy']"
ps2,All Star Fighters (Europe),4.38,45,['Fighting']
ps2,All Star Pro Wrestling (Japan),4.04,98,['Wrestling']
ps2,All-Star Baseball 2002 (Europe),4.78,9,"['Sports', 'Simulation', 'Baseball']"
ps2,All-Star Baseball 2002 (USA),4.71,14,"['Sports', 'Simulation', 'Baseball']"
ps2,All-Star Baseball 2003 featuring Derek Jeter (Europe),4.73,11,[]
ps2,All-Star Baseball 2003 featuring Derek Jeter (USA),4.18,11,[]
ps2,All-Star Baseball 2004 featuring Derek Jeter (Europe),4.83,6,[]
ps2,All-Star Baseball 2004 featuring Derek Jeter (USA),5,8,[]
ps2,All-Star Baseball 2005 featuring Derek Jeter (USA),3.87,47,[]
ps2,"Alone in the Dark - The New Nightmare (Europe) (En,Fr,De,Es,It)",4.67,123,"['Puzzle', 'Action-Adventure']"
ps2,"Alone in the Dark (Europe) (En,Fr,De,Es)",4.37,63,['Action-Adventure']
ps2,Alone in the Dark (USA),4.36,144,['Action-Adventure']
ps2,"Alpine Racer 3 (Europe) (En,Fr,De,Es,It)",5,22,['Snowboarding/Skiing']
ps2,Alpine Racer 3 (Japan),4.71,14,['Snowboarding/Skiing']
ps2,"Alpine Ski Racing 2007 (Europe) (En,De)",4.5,16,['Snowboarding/Skiing']
ps2,Alpine Skiing 2005 (Europe),4.43,7,['Snowboarding/Skiing']
ps2,"Alpine Skiing 2005 (Europe) (En,De)",4.25,8,['Snowboarding/Skiing']
ps2,"Alpine Skiing 2006 featuring Bode Miller (Europe) (En,De)",5,8,[]
ps2,Alter Echo (Europe),5,8,['Action']
ps2,"Alter Echo (Europe) (En,Fr,De,Es,It)",4.2,15,['Action']
ps2,Alter Echo (USA),4.64,14,['Action']
ps2,"Altered Beast (Europe) (En,Fr,De,Es,It)",4.44,372,"['Action', 'Action-Adventure']"
ps2,"Alvin and the Chipmunks (Europe) (En,Fr,De,Es,It)",4.04,26,['Music/Rhythm']
ps2,Alvin and the Chipmunks (USA),4.25,36,['Music/Rhythm']
ps2,Amagami (Japan),4.56,360,['Adventure']
ps2,"America's 10 Most Wanted (Europe) (En,Fr,De,Es,It) (v1.00)",4.25,36,"['Action', 'First-Person Shooter']"
ps2,"America's 10 Most Wanted (Europe) (En,Fr,De,Es,It) (v1.04)",4.06,31,"['Action', 'First-Person Shooter']"
ps2,American Arcade (Japan),4.63,16,[]
ps2,"American Chopper (Europe, Australia)",5,8,"['Action', 'Driving/Racing']"
ps2,American Chopper (USA),4.5,20,"['Action', 'Driving/Racing']"
ps2,American Chopper 2 - Full Throttle (Europe),4.94,16,"['Sports', 'Driving/Racing']"
ps2,American Chopper 2 - Full Throttle (USA),4.62,26,"['Sports', 'Driving/Racing']"
ps2,American Idol (USA),4.17,18,['Music/Rhythm']
ps2,"American Tail, An (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)",4.06,18,['Platformer']
ps2,AMF Xtreme Bowling (USA),4.38,13,['Sports']
ps2,"AMF Xtreme Bowling 2006 (Europe) (En,Fr,De,Es,It,Nl)",4.38,8,[]
ps2,"Amplitude (Europe) (En,Fr,De,Es,It)",4.42,19,"['Action', 'Music/Rhythm']"
ps2,Amplitude (USA),4.67,57,"['Action', 'Music/Rhythm']"
ps2,"AND 1 Streetball (Europe) (En,Fr,De,Es,It)",4.23,1252,"['Sports', 'Basketball']"
ps2,"AND 1 Streetball (USA) (En,Fr,Es)",4.25,1396,"['Sports', 'Basketball']"
ps2,"Animal Soccer World (Europe) (En,Fr,De)",3.65,26,['Soccer']
ps2,"Animaniacs - The Great Edgar Hunt (Europe) (En,Fr,De,Es,It)",4.31,45,['Action']
ps2,Another Century's Episode 3 - The Final (Japan),4.24,393,"['Action', 'Simulation']"
ps2,"Ant Bully, The (Europe) (En,Fr,De,Es,It)",4.11,38,"['Action', 'Adventure']"
ps2,"Ant Bully, The (Europe) (En,Fr)",3.81,31,"['Action', 'Adventure']"
ps2,"Ant Bully, The (USA) (En,Fr)",1.28,703,"['Action', 'Adventure']"
ps2,"Antz Extreme Racing (Europe) (En,Fr,De,Es,It)",4.6,10,"['Action', 'Driving/Racing']"
ps2,Antz Extreme Racing (USA),4.38,13,"['Action', 'Driving/Racing']"
ps2,Anubis II (Europe),4.53,32,['Action']
ps2,Ape Escape - Pumped & Primed (USA),4.58,120,['Minigame Collection']
ps2,Ape Escape 2 (China),4.27,26,"['Platformer', 'Action-Adventure']"
ps2,Ape Escape 2 (Europe),4.44,87,"['Platformer', 'Action-Adventure']"
ps2,Ape Escape 2 (France),4.32,19,"['Platformer', 'Action-Adventure']"
ps2,Ape Escape 2 (Germany),5,6,"['Platformer', 'Action-Adventure']"
ps2,Ape Escape 2 (Italy),4.46,24,"['Platformer', 'Action-Adventure']"
ps2,Ape Escape 2 (Spain),4.71,21,"['Platformer', 'Action-Adventure']"
ps2,Ape Escape 2 (USA),4.7,230,"['Platformer', 'Action-Adventure']"
ps2,"Ape Escape 3 (Europe) (En,Fr,De,Es,It)",4.68,116,['Platformer']
ps2,Ape Escape 3 (USA),4.6,284,['Platformer']
ps2,"Aqua Aqua - Wetrix 2 (Europe) (En,Fr,De,Es,It)",4.44,9,[]
ps2,Aqua Aqua (USA),4.83,12,['Puzzle']
ps2,Aqua Teen Hunger Force - Zombie Ninja Pro-Am (Europe),4.67,9,"['Action', 'Driving/Racing', 'Golf']"
ps2,Aqua Teen Hunger Force - Zombie Ninja Pro-Am (USA),4.61,23,"['Action', 'Driving/Racing', 'Golf']"
ps2,"Ar tonelico - Melody of Elemia (Europe) (En,Ja)",4.68,31,"['Adventure', 'Role-Playing']"
ps2,"Ar tonelico - Melody of Elemia (USA) (En,Ja)",4.47,249,"['Adventure', 'Role-Playing']"
ps2,"Ar tonelico II - Melody of Metafalica (Europe) (En,Ja)",4.81,36,['Role-Playing']
ps2,"Ar tonelico II - Melody of Metafalica (USA) (En,Ja)",4.66,174,['Role-Playing']
ps2,"Arc - Twilight of the Spirits (Europe) (En,Fr,De,Es,It)",4.55,49,"['Adventure', 'Role-Playing']"
ps2,Arc the Lad - End of Darkness (USA),4.67,46,['Role-Playing']
ps2,Arc the Lad - Twilight of the Spirits (USA),4.72,148,"['Adventure', 'Role-Playing']"
ps2,"Arcade Action - 30 Games (Europe) (En,Fr,De,Es,It)",4.46,37,[]
ps2,Arcade Classics Volume 1 (Europe),4.23,1305,"['Action', 'Compilation']"
ps2,Arcade USA (Europe),4.08,24,['Bowling']
ps2,"Arcade, The (Europe) (En,Fr,De,Es,It,Nl)",4.25,24,['Puzzle']
ps2,Arcana Heart (USA),4.48,79,['Fighting']
ps2,"Arctic Thunder (Europe) (En,Fr,De)",4.25,12,"['Driving/Racing', 'Vehicular Combat']"
ps2,Arctic Thunder (USA),3.76,21,"['Driving/Racing', 'Vehicular Combat']"
ps2,Are You Smarter Than a 5th Grader - Make the Grade (USA),4.89,9,['Trivia/Board Game']
ps2,"Area 51 (Europe) (En,Fr,De,Es,It)",4.59,79,"['Action', 'Shooter', 'First-Person Shooter']"
ps2,"Area 51 (Germany) (En,Fr,De,Es,It)",4.59,17,"['Action', 'Shooter', 'First-Person Shooter']"
ps2,Area 51 (USA),4.4,190,"['Action', 'Shooter', 'First-Person Shooter']"
ps2,Arena Football - Road to Glory (USA),4.57,21,"['Sports', 'Football']"
ps2,Arena Football (USA),4.67,18,"['Sports', 'Football']"
ps2,Ark the Lad - Jeongryeongui Hwanghon (Korea),4.74,31,[]
ps2,Armored Core - Last Raven (Europe),4.47,19,['Simulation']
ps2,Armored Core - Last Raven (USA),4.7,146,['Simulation']
ps2,"Armored Core - Nexus (Europe) (En,Fr,Es,It,Nl) (Disc 1) (Evolution)",4.2,15,"['Action', 'Simulation']"
ps2,"Armored Core - Nexus (Europe) (En,Fr,Es,It,Nl) (Disc 2) (Revolution)",4.17,12,"['Action', 'Simulation']"
ps2,Armored Core - Nexus (USA) (Disc 1) (Evolution),4.8,45,"['Action', 'Simulation']"
ps2,Armored Core - Nexus (USA) (Disc 2) (Revolution),4.55,49,"['Action', 'Simulation']"
ps2,Armored Core - Nine Breaker (Europe),4.91,11,['Simulation']
ps2,Armored Core - Nine Breaker (USA),4.74,38,['Simulation']
ps2,Armored Core - Silent Line (Europe),4.91,11,['Simulation']
ps2,Armored Core - Silent Line (USA),4.57,129,['Simulation']
ps2,Armored Core 2 - Another Age (Europe),4.67,12,"['Action', 'Simulation']"
ps2,Armored Core 2 - Another Age (Japan),4.72,43,"['Action', 'Simulation']"
ps2,Armored Core 2 - Another Age (USA),4.83,35,"['Action', 'Simulation']"
ps2,Armored Core 2 (Europe),4.44,18,"['Action', 'Vehicular Combat']"
ps2,Armored Core 2 (Japan),4.42,71,"['Action', 'Vehicular Combat']"
ps2,Armored Core 2 (USA),4.65,86,"['Action', 'Vehicular Combat']"
ps2,Armored Core 3 - Silent Line (Japan),4.58,89,['Simulation']
ps2,Armored Core 3 (Europe),4.9,21,"['Action', 'Simulation']"
ps2,Armored Core 3 (USA),4.67,125,"['Action', 'Simulation']"
ps2,"Army Men - Air Attack - Blade's Revenge (Europe) (En,Fr,De,Es,It)",4.58,33,['Action']
ps2,Army Men - Air Attack 2 (USA),4.37,41,['Action']
ps2,"Army Men - Green Rogue (Europe) (En,Fr,De,Es,It)",4.6,15,"['Action', 'Shooter']"
ps2,Army Men - Green Rogue (USA),4.23,22,"['Action', 'Shooter']"
ps2,"Army Men - Major Malfunction (Europe, Australia)",4.14,14,"['Action', 'Shooter']"
ps2,"Army Men - RTS (Europe) (Fr,De,Es,It)",4.04,25,"['Action', 'Strategy', 'Real-Time Strategy']"
ps2,Army Men - RTS (USA),4.47,125,"['Action', 'Strategy', 'Real-Time Strategy']"
ps2,"Army Men - Sarge's Heroes 2 (Europe) (En,Fr,De,Es,It)",4.25,16,['Action']
ps2,Army Men - Sarge's Heroes 2 (USA),4.37,51,['Action']
ps2,"Army Men - Sarge's War (Europe) (En,Fr,De,Es,It)",4.06,32,"['Action', 'Shooter']"
ps2,"Army Men - Soldiers of Misfortune (USA) (En,Fr,De,Es,It)",4.56,39,['Action']
ps2,Art of Fighting Anthology (Europe),4.74,19,"['Fighting', 'Compilation']"
ps2,Art of Fighting Anthology (USA),4.51,120,"['Fighting', 'Compilation']"
ps2,"Arthur and the Invisibles - The Game (USA) (En,Fr,Es)",4.72,57,[]
ps2,"Arthur and the Minimoys (Europe) (En,Fr,De,Es,It,Nl,Sv)",4.38,34,['Action-Adventure']
ps2,"Artlist Collection - The Dog Island (Europe) (En,Fr,De,Es,It,Nl)",4.48,84,[]
ps2,Ashita no Joe - Masshiro ni Moe Tsukiro! (Japan),4.92,12,[]
ps2,Assault Suits Valken (Europe),3.96,26,['Action']
ps2,Asterix & Obelix - Kick Buttix (USA),4.41,74,"['Action', 'Driving/Racing']"
ps2,"Asterix & Obelix XXL (Europe) (En,Fr,De,Es,It)",4.53,146,"['Action', 'Platformer']"
ps2,"Asterix & Obelix XXL 2 (Europe) (En,Fr,De,Es,It)",4.47,55,"['Action', 'Platformer']"
ps2,"Asterix & Obelix XXL 2 (Europe) (En,Fr,De)",4.2,94,"['Action', 'Platformer']"
ps2,"Asterix at the Olympic Games (Europe) (En,Fr,De,Es,It)",4.61,82,"['Action', 'Sports', 'Track & Field']"
ps2,"Astro Boy - The Video Game (Europe) (En,Fr,De,Es,It)",4.87,15,['Action']
ps2,"Astro Boy - The Video Game (USA) (En,Fr,De,Es,It)",4.44,16,['Action']
ps2,"Astro Boy (Europe) (En,Fr,De,Es,It)",4.5,24,['Action']
ps2,Astro Boy (USA),4.34,59,['Action']
ps2,Atari Anthology (Europe),4.69,191,['Compilation']
ps2,Atari Anthology (USA),4.67,36,['Compilation']
ps2,"Atelier Iris - Eternal Mana (Europe) (En,Ja)",4.37,41,"['Adventure', 'Role-Playing']"
ps2,"Atelier Iris - Eternal Mana (USA) (En,Ja)",4.74,157,"['Adventure', 'Role-Playing']"
ps2,"Atelier Iris 2 - The Azoth of Destiny (Europe) (En,Ja)",4.77,22,"['Adventure', 'Role-Playing']"
