console,title,average_rating,rating_count,genres
ps_one,'98 Koushien - Koukou Yakyuu Simulation (Japan),4.02,56,[]
ps_one,'Butagee' de Iinja Nai (Japan),4.27,22,[]
ps_one,007 - Der Morgen Stirbt Nie (G),4.02,81,[]
ps_one,007 - Die Welt ist Nicht Genug (G),4.52,25,[]
ps_one,007 - El Mundo Nunca Es Suficiente (S),4.66,38,[]
ps_one,007 - The World is Not Enough (E),4.51,159,"['Action', 'First-Person Shooter']"
ps_one,007 - The World Is Not Enough [U],4.24,133,"['Action', 'First-Person Shooter']"
ps_one,007 - Tomorrow Never Dies (E),4.32,168,['Action']
ps_one,007 - Tomorrow Never Dies (Japan),4.03,34,['Action']
ps_one,007 - Tomorrow Never Dies [U],4.26,111,['Action']
ps_one,007 Racing [U],4.17,105,"['Action', 'Driving/Racing']"
ps_one,100 Man Yen Quiz Hunter (Japan),4.38,8,[]
ps_one,10101 - Will the Starship (Japan),4.36,14,[]
ps_one,102 Dalmations - Puppies to the Rescue [U],4.6,135,[]
ps_one,10th Anniversary Memorial Save Data (Japan) (Disc 1) ('PlayStation Taiou'),4.42,12,[]
ps_one,16 Tales 2 [U],4.4,10,"['Action', 'Adventure', 'Role-Playing']"
ps_one,19 ji 03 pun Ueno Hatsu Yakou Ressha (Japan),4.47,15,[]
ps_one,1Xtreme [U],4.5,12,"['Sports', 'Driving/Racing', 'Skateboarding']"
ps_one,2 Demos in 1 - Driver + V-Rally - Championship Edition 2 (J),4.07,15,[]
ps_one,2002 FIFA World Cup (E),2.37,431,"['Sports', 'Soccer']"
ps_one,2999 Nen no Game Kids (J),4.43,14,[]
ps_one,2Xtreme (E),4.33,33,[]
ps_one,2Xtreme [U],4.27,52,[]
ps_one,"3, 2, 1, Smurf! My First Racing Game (E)",4.11,55,[]
ps_one,3D Baseball [U],4.62,21,['Baseball']
ps_one,3D Kakutou Tkool (Japan),4.89,9,[]
ps_one,3D Lemmings (E),4.52,29,['Puzzle']
