console,title,average_rating,rating_count,genres
sega_dreamcast,"102 Dalmatians, Disney's - Puppies to the Rescue (Europe)(Fr,De,It,Es)",4.53,45,"['Action', 'Adventure', 'Platformer']"
sega_dreamcast,"102 Dalmatians, Disney's - Puppies to the Rescue (United Kingdom)",4.71,7,"['Action', 'Adventure', 'Platformer']"
sega_dreamcast,"102 Dalmatians, Disney's - Puppies to the Rescue (USA)",3.69,347,"['Action', 'Adventure', 'Platformer']"
sega_dreamcast,"18 Wheeler - American Pro Trucker (Europe)(En,De,Fr,Es)",4.59,54,[]
sega_dreamcast,18 Wheeler - American Pro Trucker (Japan),4.52,21,['Driving/Racing']
sega_dreamcast,18 Wheeler - American Pro Trucker (USA),3.59,239,['Driving/Racing']
sega_dreamcast,21 Two One (Japan),4.78,9,[]
sega_dreamcast,2D House of Terror (World) [English Translated],4.56,9,"['Action', 'Shooter', ""Shoot 'Em Up""]"
sega_dreamcast,2D House of Terror (World) [Español Translated],5,4,"['Action', 'Shooter', ""Shoot 'Em Up""]"
sega_dreamcast,"4 Wheel Thunder (Europe)(En,Fr)",5,11,['Driving/Racing']
sega_dreamcast,4 Wheel Thunder (USA),4.17,293,['Driving/Racing']
sega_dreamcast,4x4 Evolution (USA),3.96,204,"['Driving/Racing', 'Simulation']"
sega_dreamcast,"90 Minutes - Sega Championship Football (Europe)(En,Fr,De,It,Es)",4.2,20,[]
sega_dreamcast,Action Replay CDX (PAL),4.25,109,[]
sega_dreamcast,Action Replay CDX Demo Version (PAL),4.8,10,[]
sega_dreamcast,Action Replay CDX Retail (PAL),4.5,12,[]
sega_dreamcast,Action Replay CDX V3.0 French (PAL),5,8,[]
sega_dreamcast,Advanced Daisenryaku - Sturm uber Europa - Der Deutsche Blitzkrieg (Japan),4.73,48,[]
sega_dreamcast,Advanced Daisenryaku 2001 (Japan),4.74,31,['Strategy']
sega_dreamcast,Aero Dancing - Todoroki Taichoo no Himitsu Disk (Japan),5,4,"['Simulation', 'Flight Simulator']"
sega_dreamcast,Aero Dancing F - Todoroki Tsubasa no Hatsu Hikou (Japan),5,6,"['Simulation', 'Flight Simulator']"
sega_dreamcast,Aero Dancing F (Japan),4.63,16,[]
sega_dreamcast,Aero Dancing Featuring Blue Impulse (Japan),4.33,12,[]
sega_dreamcast,Aero Dancing i - Jikai Saku Made Matemasen (Japan),4.57,14,[]
sega_dreamcast,Aero Dancing i (Japan),4.88,8,"['Simulation', 'Flight Simulator']"
sega_dreamcast,"AeroWings (Europe)(En,Fr,De)",4.91,11,"['Simulation', 'Flight Simulator']"
sega_dreamcast,AeroWings (Japan),5,4,"['Simulation', 'Flight Simulator']"
sega_dreamcast,AeroWings (USA),4.1,60,"['Simulation', 'Flight Simulator']"
sega_dreamcast,"AeroWings 2 - Airstrike (Europe)(En,De)",4.31,16,[]
sega_dreamcast,AeroWings 2 - Airstrike (USA),4.21,72,"['Simulation', 'Flight Simulator']"
sega_dreamcast,After- - Wasureenu Kizuna (Japan) (Limited Edition),5,5,['Adventure']
sega_dreamcast,Aikagi (Japan),5,10,['Adventure']
sega_dreamcast,Air (Japan),5,5,['Adventure']
sega_dreamcast,Airforce Delta (Japan) (Genteiban),4.27,11,"['Action', 'Flight Simulator']"
sega_dreamcast,Airforce Delta (USA),4.16,183,[]
sega_dreamcast,Akihabara Dennou Gumi Pata Pies! (Japan),5,5,[]
sega_dreamcast,Alice's Moms Rescue,4.75,8,['Platformer']
sega_dreamcast,AlienFront Online (USA),3.27,71,"['Action', 'Vehicular Combat']"
sega_dreamcast,Alone in the Dark - The New Nightmare (France),4.65,17,"['Puzzle', 'Action-Adventure']"
sega_dreamcast,Alone in the Dark - The New Nightmare (Germany),4.92,13,"['Puzzle', 'Action-Adventure']"
sega_dreamcast,Alone in the Dark - The New Nightmare (Spain),4.6,57,"['Puzzle', 'Action-Adventure']"
sega_dreamcast,Alone in the Dark - The New Nightmare (United Kingdom),4.7,27,"['Puzzle', 'Action-Adventure']"
sega_dreamcast,Alone in the Dark - The New Nightmare (USA),4.15,130,"['Puzzle', 'Action-Adventure']"
sega_dreamcast,Angel Present (Japan),5,6,[]
sega_dreamcast,Animaster (Japan),4.6,5,[]
sega_dreamcast,Aoi Hagane no Kihei - Space Griffon (Japan),5,7,"['Action', 'Role-Playing']"
sega_dreamcast,"Aqua GT (Europe)(En,Fr,De)",4.67,15,['Driving/Racing']
sega_dreamcast,Armada (USA),4.07,90,"['Action', 'Shooter']"
sega_dreamcast,"Army Men - Sarge's Heroes (Europe)(En,Fr,De,It,Es)",4.38,16,[]
sega_dreamcast,Army Men - Sarge's Heroes (USA),3.84,102,"['Action', 'Shooter', 'Action-Adventure']"
sega_dreamcast,Atari Anniversary Edition (USA),3.79,38,"['Action', 'Strategy', 'Driving/Racing', 'Simulation']"
sega_dreamcast,Atsumare! GuruGuru Onsen (Japan),5,7,[]
sega_dreamcast,Atsumare! GuruGuru Onsen BB (Japan),5,4,[]
sega_dreamcast,"Aventures de Buzz L'Eclair, Les (France)",5,6,"['Action', 'Adventure']"
sega_dreamcast,Bakumatsu Roman Daini Maku - Gekka no Kenshi - Final Edition (Japan),4,7,[]
sega_dreamcast,Bakuretsu Muteki Bangaioh (Japan),4.78,9,"['Action', 'Shooter']"
sega_dreamcast,Baldr Force EXE (Japan),4.71,14,[]
