console,title,average_rating,rating_count,genres
sega_megadrive,[BIOS] Genesis TMSS (USA),4.63,98,[]
sega_megadrive,[BIOS] Mega-CD Model 1 (Europe) (v1.00),4.49,116,[]
sega_megadrive,[BIOS] Mega-CD Model 1 (Japan) (v1.00P),4.45,120,[]
sega_megadrive,[BIOS] Mega-CD Model 1 (Japan) (v1.00S),4.47,122,[]
sega_megadrive,[BIOS] Mega-CD Model 2 (Europe) (v2.00),4.56,45,[]
sega_megadrive,[BIOS] Mega-CD Model 2 (Europe) (v2.00W),4.56,9,[]
sega_megadrive,[BIOS] Mega-CD Model 2 (Japan) (v2.00),4.4,215,[]
sega_megadrive,[BIOS] MegaNet (Europe),5,10,[]
sega_megadrive,[BIOS] Pioneer LaserActive (Japan) (v1.02),4.88,8,[]
sega_megadrive,[BIOS] Pioneer LaserActive (USA) (v1.02),5,6,[]
sega_megadrive,[BIOS] Sega CD Model 1 (USA) (v1.10),4.41,219,[]
sega_megadrive,[BIOS] Sega CD Model 2 (USA) (v2.00),4.04,25,[]
sega_megadrive,[BIOS] Sega CD Model 2 (USA) (v2.00W),4.43,21,[]
sega_megadrive,[BIOS] Sega CD Model 2 (USA) (v2.11),4.38,266,[]
sega_megadrive,[BIOS] Sega CDX (USA) (v2.21),5,10,[]
sega_megadrive,[Program] Action Replay (Europe),5,6,[]
sega_megadrive,[Program] Flux (Europe) (Requires MegaCD),5,5,[]
sega_megadrive,[Program] Game Genie (USA),4.62,13,[]
sega_megadrive,[Program] Game Genie (USA) (v1.1),4.45,98,[]
sega_megadrive,[Program] Game Toshokan (Japan) (Rev A),5,4,[]
sega_megadrive,[Program] Mega Anser (Japan),5,4,[]
sega_megadrive,[Program] Pro Action Replay (Europe),3.8,10,[]
sega_megadrive,[Program] Pro Action Replay 2 (Europe),4.67,6,[]
sega_megadrive,[Program] Pro Action Replay 2 (Europe) (Alt),5,4,[]
sega_megadrive,[Program] Sega Channel (USA),4.47,15,[]
sega_megadrive,[Program] Wonder Library (Japan),4.67,6,[]
sega_megadrive,[SegaNet] 16t (Japan),4.83,6,[]
sega_megadrive,[SegaNet] Aworg (Japan),5,5,[]
sega_megadrive,[SegaNet] Hyper Marbles (Japan),4.88,8,[]
sega_megadrive,[SegaNet] Ikazuse! Koi no Doki Doki Penguin Land MD (Japan),3.82,11,[]
sega_megadrive,[SegaNet] Kiss Shot (Japan),3.7,20,[]
sega_megadrive,[SegaNet] Medal City (Japan),5,5,[]
sega_megadrive,[SegaNet] MegaMind (Japan),4.6,5,[]
sega_megadrive,[SegaNet] Paddle Fighter (Japan),5,5,[]
sega_megadrive,[SegaNet] Phantasy Star II - Anne's Adventure (Japan),5,4,[]
sega_megadrive,[SegaNet] Phantasy Star II - Huey's Adventure (Japan),5,4,[]
sega_megadrive,[SegaNet] Phantasy Star II - Kinds's Adventure (Japan),5,4,[]
sega_megadrive,[SegaNet] Phantasy Star II - Shilka's Adventure (Japan),5,4,[]
sega_megadrive,[SegaNet] Putter Golf (Japan),5,5,[]
sega_megadrive,[SegaNet] Pyramid Magic (Japan),4.17,12,[]
sega_megadrive,[SegaNet] Pyramid Magic II (Japan),4.83,6,[]
sega_megadrive,[SegaNet] Pyramid Magic III (Japan),5,9,[]
sega_megadrive,[SegaNet] Pyramid Magic Special (Japan),5,6,[]
sega_megadrive,[SegaNet] Riddle Wired (Japan),4.57,7,[]
sega_megadrive,[SegaNet] Robot Battler (Japan),4.83,6,[]
sega_megadrive,[SegaNet] Shi no Meikyuu - Labyrinth of Death (Japan),5,4,[]
sega_megadrive,[SegaNet] Sonic Eraser (Japan),5,10,[]
sega_megadrive,[SegaNet] Teddy Boy Blues (Japan),5,7,[]
sega_megadrive,007 Shitou - The Duel (Japan),3.54,13,[]
sega_megadrive,16 Zhang Majiang (China) (Unl),5,6,[]
sega_megadrive,2020 Toshi Super Baseball (Japan),4.63,8,[]
sega_megadrive,3 Ninjas Kick Back (USA),4.63,16,['Action']
sega_megadrive,6-Pak (USA),4.67,168,['Compilation']
sega_megadrive,"688 Attack Sub (USA, Europe)",4.69,16,['Simulation']
sega_megadrive,A Ressha de Ikou MD (Japan),4.08,12,"['Strategy', 'Simulation']"
sega_megadrive,Aa Harimanada (Japan),4.17,12,['Sports']
sega_megadrive,"AAAHH!!! Real Monsters (USA, Europe)",4.81,27,"['Action', 'Platformer']"
sega_megadrive,Action 52 (USA) (Alt) (Unl),2.03,34,"['Action', 'Adventure', 'Driving/Racing', 'Shooter', 'Minigame Collection', 'Platformer']"
sega_megadrive,Action 52 (USA) (Unl),2.9,29,"['Action', 'Adventure', 'Driving/Racing', 'Shooter', 'Minigame Collection', 'Platformer']"
sega_megadrive,"Addams Family Values (Europe) (En,Fr,De)",4.35,17,"['Action', 'Role-Playing']"
sega_megadrive,"Addams Family, The (USA, Europe)",3.92,36,"['Action', 'Platformer']"
sega_megadrive,"Addams Family, The (USA) (Beta)",5,7,"['Action', 'Platformer']"
sega_megadrive,"Addams Family, The (USA) (Beta) (Alt)",4.13,8,"['Action', 'Platformer']"
sega_megadrive,Advanced Busterhawk Gleylancer (Japan),4.48,25,"['Action', ""Shoot 'Em Up""]"
sega_megadrive,Advanced Busterhawk Gleylancer (Japan) [En by MIJET v20061023],4.94,17,"['Action', ""Shoot 'Em Up""]"
sega_megadrive,Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Rev A),4.8,40,['Strategy']
sega_megadrive,Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Rev A) [En by Nebelwurfer v0.95] (~Advanced Military Commander) (Incomplete),5,22,['Strategy']
sega_megadrive,"Adventures of Batman & Robin, The (Europe)",4.44,32,"['Action', 'Adventure', 'Platformer']"
sega_megadrive,"Adventures of Batman & Robin, The (USA)",4.75,122,"['Action', 'Adventure', 'Platformer']"
sega_megadrive,"Adventures of Mighty Max, The (Europe)",4.86,7,"['Action', 'Adventure']"
sega_megadrive,"Adventures of Mighty Max, The (USA)",4.36,14,"['Action', 'Adventure']"
sega_megadrive,"Adventures of Rocky and Bullwinkle and Friends, The (USA)",4.86,7,['Action']
sega_megadrive,Aero Blasters (Japan),4.75,24,['Action']
sega_megadrive,Aero the Acro-Bat (Europe),4.93,15,"['Action', 'Platformer']"
sega_megadrive,Aero the Acro-Bat (USA),4.74,23,"['Action', 'Platformer']"
sega_megadrive,Aero the Acro-Bat 2 (Europe),4.64,14,"['Action', 'Platformer']"
sega_megadrive,Aero the Acro-Bat 2 (USA),4.9,20,"['Action', 'Platformer']"
sega_megadrive,Aerobiz (USA),5,9,"['Strategy', 'Simulation']"
sega_megadrive,Aerobiz Supersonic (USA),4.98,43,"['Strategy', 'Simulation']"
sega_megadrive,After Burner II (Japan),4.93,15,"['Action', 'Flight Simulator']"
sega_megadrive,"After Burner II (USA, Europe)",4.45,44,"['Action', 'Flight Simulator']"
sega_megadrive,Air Buster (USA),4.68,28,['Action']
sega_megadrive,Air Diver (Japan),4.8,5,['Action']
sega_megadrive,Air Diver (USA),4.08,12,['Action']
sega_megadrive,Air Management - Oozora ni Kakeru (Japan),5,4,[]
sega_megadrive,Air Management II - Koukuuou o Mezase (Japan),5,5,[]
sega_megadrive,Akumajou Dracula - Vampire Killer (Japan),4.67,33,[]
sega_megadrive,Aladdin (Europe),4.54,174,"['Action', 'Adventure', 'Platformer']"
sega_megadrive,Aladdin (Japan),4.62,26,"['Action', 'Adventure', 'Platformer']"
sega_megadrive,Aladdin (USA),4.49,471,"['Action', 'Adventure', 'Platformer']"
sega_megadrive,Aladdin (USA) (Beta),5,15,"['Action', 'Adventure', 'Platformer']"
sega_megadrive,Alex Kidd - Cheongong Maseong (Korea),4.9,21,[]
sega_megadrive,Alex Kidd - Tenkuu Majou (Japan),4.93,15,[]
sega_megadrive,Alex Kidd in the Enchanted Castle (Europe),4.33,42,"['Adventure', 'Platformer']"
sega_megadrive,Alex Kidd in the Enchanted Castle (Europe) (Alt),4.59,17,"['Adventure', 'Platformer']"
sega_megadrive,Alex Kidd in the Enchanted Castle (USA),4.17,76,"['Adventure', 'Platformer']"
sega_megadrive,"Alien 3 (USA, Europe)",4.59,61,['Action']
sega_megadrive,"Alien 3 (USA, Europe) (v1.1)",4.44,114,['Action']
sega_megadrive,Alien Soldier (Europe),4.6,67,"['Action', 'Shooter']"
sega_megadrive,Alien Soldier (Japan),4.97,37,"['Action', 'Shooter']"
sega_megadrive,Alien Storm (World),4.52,54,"['Action', 'Shooter', 'Brawler']"
sega_megadrive,Alisia Dragoon (Europe),4.92,12,"['Action', 'Platformer']"
sega_megadrive,Alisia Dragoon (Japan),4.69,16,"['Action', 'Platformer']"
sega_megadrive,Alisia Dragoon (USA),4.46,50,"['Action', 'Platformer']"
sega_megadrive,"Altered Beast (USA, Europe)",4.65,171,"['Action', 'Brawler', 'Platformer']"
sega_megadrive,American Gladiators (USA),4.82,11,"['Action', 'Sports', 'Simulation']"
sega_megadrive,Andre Agassi Tennis (Europe) (v1.1),4.42,98,"['Sports', 'Tennis']"
sega_megadrive,Andre Agassi Tennis (USA),5,7,"['Sports', 'Tennis']"
sega_megadrive,Andre Agassi Tennis (USA) (Beta),5,4,"['Sports', 'Tennis']"
sega_megadrive,"Animaniacs (Europe) (En,Fr,De)",4.93,15,"['Action', 'Platformer']"
sega_megadrive,Animaniacs (USA),4.79,99,"['Action', 'Platformer']"
sega_megadrive,Another World (Europe),4.95,37,"['Adventure', 'Role-Playing']"
sega_megadrive,Aoki Ookami to Shiroki Meshika - Genchou Hishi (Japan),5,4,[]
sega_megadrive,Aq Renkan Awa (China) (Unl),5,4,[]
sega_megadrive,"Aquatic Games Starring James Pond and the Aquabats, The (USA, Europe)",4.83,6,[]
sega_megadrive,"Arcade Classics (USA, Europe)",4.6,10,['Compilation']
sega_megadrive,"Arch Rivals - The Arcade Game (USA, Europe)",4.4,10,[]
sega_megadrive,Arcus Odyssey (Japan),4.88,8,"['Action', 'Adventure']"
sega_megadrive,Arcus Odyssey (USA),4.5,18,"['Action', 'Adventure']"
sega_megadrive,"Ariel the Little Mermaid (USA, Europe)",4.3,33,['Action']
sega_megadrive,"Arnold Palmer Tournament Golf (USA, Europe)",5,9,['Sports']
sega_megadrive,Arrow Flash (Japan),4.93,15,"[""Shoot 'Em Up""]"
sega_megadrive,"Arrow Flash (USA, Europe)",4.47,30,"[""Shoot 'Em Up""]"
sega_megadrive,Art Alive (World),4.86,7,['Educational']
sega_megadrive,Art of Fighting (Europe),5,7,"['Action', 'Fighting']"
sega_megadrive,Art of Fighting (USA),4.67,30,"['Action', 'Fighting']"
sega_megadrive,Assault Suit Leynos (Japan),4.63,24,[]
sega_megadrive,"Asterix and the Great Rescue (Europe) (En,Fr,De,Es,It)",4.12,25,"['Action', 'Strategy', 'Platformer']"
sega_megadrive,Asterix and the Great Rescue (USA),4.09,23,"['Action', 'Strategy', 'Platformer']"
sega_megadrive,Asterix and the Power of the Gods (Europe) (Beta),5,6,['Action']
sega_megadrive,"Asterix and the Power of the Gods (Europe) (En,Fr,De,Es)",4.33,15,['Action']
sega_megadrive,Atomic Robo-Kid (Japan),4.63,16,"['Action', 'Shooter']"
sega_megadrive,Atomic Robo-Kid (USA),4.29,17,"['Action', 'Shooter']"
sega_megadrive,Atomic Runner (Europe),5,13,"['Action', 'Shooter', 'Platformer']"
sega_megadrive,Atomic Runner (USA),4.69,29,"['Action', 'Shooter', 'Platformer']"
sega_megadrive,ATP Tour (Europe),5,7,"['Sports', 'Tennis']"
sega_megadrive,ATP Tour Championship Tennis (USA),5,9,"['Sports', 'Tennis']"
sega_megadrive,Australian Rugby League (Europe),4.67,6,['Sports']
sega_megadrive,Awesome Possum (USA),3.86,22,['Platformer']
sega_megadrive,Awesome Possum (USA) (Beta),5,4,['Platformer']
