console,title,average_rating,rating_count,genres
sega_saturn,2DO Arukotowa Sandoahru (J),4.71,24,[]
sega_saturn,2nd Arukotoha Sando-R (J),4.72,18,[]
sega_saturn,3D Baseball (J),3.78,9,['Baseball']
sega_saturn,3D Lemmings (E),4.83,6,['Puzzle']
sega_saturn,3D Lemmings (J),4.8,10,['Puzzle']
sega_saturn,"3x3 Eyes Disc 1, 2, 3 (J)",4.75,20,[]
sega_saturn,6 Inch My Darling (J),4.38,16,['Adventure']
sega_saturn,Actua Golf (E),4.35,20,"['Sports', 'Golf']"
sega_saturn,Actua Soccer Club Edition (E),3.21,33,"['Sports', 'Soccer']"
sega_saturn,Advanced VG (J),4.53,51,['Fighting']
sega_saturn,Advanced World War - Last of the Millennium (J),4.77,155,[]
sega_saturn,Afterburner II (J),4.85,27,[]
sega_saturn,Ai Igo (J),4,12,[]
sega_saturn,Ai Shogi (J),3.55,11,[]
sega_saturn,Airs Adventure (J),4.15,13,"['Adventure', 'Role-Playing']"
sega_saturn,Akumajo Dracula X - Gekka no Yasoukyoku (J),3.98,481,[]
sega_saturn,Akumajou Dracula X - Gekka no Yasoukyoku (J),3.98,502,[]
sega_saturn,Albert Odyssey (U),4.58,366,['Role-Playing']
sega_saturn,Albert Odyssey Gaiden - Legend of Eldean (Genteiban) (J),4.52,25,[]
sega_saturn,Alien Trilogy (E),4.43,28,"['Action', 'Shooter', 'First-Person Shooter']"
sega_saturn,Alien Trilogy (GER),5,10,"['Action', 'Shooter', 'First-Person Shooter']"
sega_saturn,Alien Trilogy (U),4.58,36,"['Action', 'Shooter', 'First-Person Shooter']"
sega_saturn,All Japan Pro Wrestling Featuring Virtua (J),3.65,20,[]
sega_saturn,All Star Baseball '97 Featuring Frank Thomas (U),4.07,14,[]
sega_saturn,Alone in the Dark - Jack is Back (E),4.5,12,[]
sega_saturn,Alone in the Dark One-Eyed Jack's Revenge (U),4.4,15,[]
sega_saturn,Amagi Shien (J),4.63,16,[]
sega_saturn,America Oudan Ultra Quiz (J)(Satun),5,5,[]
sega_saturn,AMOK (E),5,6,"['Action', 'Shooter']"
sega_saturn,AMOK (U),4.11,18,"['Action', 'Shooter']"
sega_saturn,Andretti Racing (E),4.33,6,"['Driving/Racing', 'Simulation']"
sega_saturn,Andretti Racing (FRA),5,6,"['Driving/Racing', 'Simulation']"
sega_saturn,Andretti Racing (GER),5,5,"['Driving/Racing', 'Simulation']"
sega_saturn,Andretti Racing (U),4.22,9,"['Driving/Racing', 'Simulation']"
sega_saturn,Anearth (J),5,13,['Role-Playing']
sega_saturn,Angel Graffiti S (J)(Satun),4.67,9,[]
sega_saturn,Another Memories (J),5,10,[]
sega_saturn,Aquazone - Desktop Life (J),4.27,11,[]
sega_saturn,Arcade Gears 1 - Pu-li-rula (J),5,6,[]
sega_saturn,Arcade Gears 3 - Wonder 3 (J),4.75,12,[]
sega_saturn,Arcade Gears 4 - Image Fight & X-Multiply (J),5,7,[]
sega_saturn,Arcade's Greatest Hits - The Atari Collection 1 (Midway presents) (E),4.5,6,"['Action', 'Compilation']"
sega_saturn,Arcade's Greatest Hits The Atari Collection 1 (U),4.2,1209,"['Action', 'Compilation']"
sega_saturn,"Arcade's Greatest Hits, Williams (U)",3.95,21,['Compilation']
sega_saturn,Arcana Strikes (J),4.17,23,[]
sega_saturn,Area 51 (E),3.75,8,"['Action', 'Shooter', 'Light-Gun Shooter']"
sega_saturn,Area 51 (U),4.75,16,"['Action', 'Shooter', 'Light-Gun Shooter']"
sega_saturn,Arthur to Astaroth Nazomakaimura - Incredible (J),4.7,10,[]
sega_saturn,Assault Rigs (J),4.55,11,['Action']
sega_saturn,Assault Suit Leynos 2 (J),4.82,44,[]
sega_saturn,Astal - Kisuisyoudensetu Asutaru (J),4.5,20,[]
sega_saturn,Astal (U),4.64,211,"['Action', 'Platformer']"
sega_saturn,Astra Superstars (J),4.71,21,['Fighting']
sega_saturn,Asuka 120 Burning Fest (J),4.29,35,['Fighting']
sega_saturn,Asuka 120% Limited (J),4.78,37,['Fighting']
sega_saturn,Atelier Marie (J),5,7,['Role-Playing']
sega_saturn,Atelier Marie 1.3 (J),4.92,12,[]
sega_saturn,Athlete Kings (E),4.59,29,[]
