console,title,average_rating,rating_count,genres
super_nintendo,'96 Zenkoku Koukou Soccer Senshuken (Japan),4.19,26,[]
super_nintendo,2020 Super Baseball (Japan),4,13,"['Action', 'Sports', 'Simulation']"
super_nintendo,2020 Super Baseball (USA),4.38,40,"['Action', 'Sports', 'Simulation']"
super_nintendo,3 Jigen Kakutou Ballz (Japan),5,8,[]
super_nintendo,3 Ninjas Kick Back (USA),3.57,30,['Action']
super_nintendo,3x3 Eyes - Juuma Houkan (Japan),4.42,12,"['Action', 'Adventure']"
super_nintendo,3x3 Eyes - Seima Kourinden (Japan),4.5,8,"['Adventure', 'Role-Playing']"
super_nintendo,4 Nin Shougi (Japan),3.81,16,[]
super_nintendo,46 Okunen Monogatari - Harukanaru Eden e (Japan),4.11,65,[]
super_nintendo,"7th Saga, The (USA)",4.55,136,"['Adventure', 'Role-Playing']"
super_nintendo,"7th Saga, The (USA) [Hack by James Skarzinskas v1.0] (Elnard's Balance Restauration)",4.67,15,"['Adventure', 'Role-Playing']"
super_nintendo,"7th Saga, The (USA) [Hack by Nati v1.0] (~7th Saga Redux)",4.53,15,"['Adventure', 'Role-Playing']"
super_nintendo,90 Minutes - European Prime Goal (Europe),4.43,23,['Soccer']
super_nintendo,90 Minutes - European Prime Goal (Europe) (Beta),3.96,27,['Soccer']
super_nintendo,AAAHH!!! Real Monsters (Europe),4.64,59,"['Action', 'Platformer']"
super_nintendo,AAAHH!!! Real Monsters (USA),3.43,86,"['Action', 'Platformer']"
super_nintendo,ABC Monday Night Football (Japan),4.46,13,['Football']
super_nintendo,ABC Monday Night Football (USA),4.75,12,['Football']
super_nintendo,Accele Brid (Japan),4.8,10,['Action']
super_nintendo,Accele Brid (Japan) [En by Aeon Genesis v1.0],4.56,9,['Action']
super_nintendo,Ace o Nerae! (Japan),4.88,8,[]
super_nintendo,Ace o Nerae! (Japan) [En by RPGOne v1.2] (~Aim for the Ace! - Ace Tennis),4.91,11,[]
super_nintendo,ACME Animation Factory (Europe),4.5,12,['Minigame Collection']
super_nintendo,ACME Animation Factory (USA),4.07,14,['Minigame Collection']
super_nintendo,Acrobat Mission (Japan),4.05,20,"[""Shoot 'Em Up""]"
super_nintendo,Action Pachio (Japan),4.1,10,"['Action', 'Platformer']"
super_nintendo,ActRaiser (Europe),4.55,40,"['Action', 'Simulation']"
super_nintendo,ActRaiser (France),5,21,"['Action', 'Simulation']"
super_nintendo,ActRaiser (Germany),4.54,24,"['Action', 'Simulation']"
super_nintendo,ActRaiser (Japan),4.67,94,"['Action', 'Simulation']"
super_nintendo,ActRaiser (Japan) [En by Aeon Genesis v1.0],5,13,"['Action', 'Simulation']"
super_nintendo,ActRaiser (USA),4.45,137,"['Action', 'Simulation']"
super_nintendo,ActRaiser 2 - Chinmoku e no Seisen (Japan),4.53,17,[]
super_nintendo,"ActRaiser 2 (Europe) (En,Fr,De)",4.6,35,['Action']
super_nintendo,ActRaiser 2 (USA),4.57,84,['Action']
super_nintendo,"Addams Family Values (Europe) (En,Fr,De)",4.54,24,"['Action', 'Role-Playing']"
super_nintendo,"Addams Family Values (USA) (En,Fr,De)",4.76,29,"['Action', 'Role-Playing']"
super_nintendo,"Addams Family, The - Pugsley's Scavenger Hunt (Europe)",4.21,34,"['Action', 'Platformer', 'Action-Adventure']"
super_nintendo,"Addams Family, The - Pugsley's Scavenger Hunt (USA)",4.6,15,"['Action', 'Platformer', 'Action-Adventure']"
super_nintendo,"Addams Family, The - Pugsley's Scavenger Hunt (USA) (Beta)",5,4,"['Action', 'Platformer', 'Action-Adventure']"
super_nintendo,"Addams Family, The (Europe) (En,Fr,De)",4.66,29,"['Action', 'Platformer']"
super_nintendo,"Addams Family, The (Japan)",4.9,10,"['Action', 'Platformer']"
super_nintendo,"Addams Family, The (USA)",4.61,62,"['Action', 'Platformer']"
super_nintendo,"Adventures of Batman & Robin, The (Europe)",4.34,74,"['Action', 'Adventure', 'Platformer']"
super_nintendo,"Adventures of Batman & Robin, The (USA)",4.59,166,"['Action', 'Adventure', 'Platformer']"
super_nintendo,"Adventures of Dr. Franken, The (Europe) (En,Fr,De,Es,It,Nl,Sv)",4.79,14,"['Action', 'Platformer']"
super_nintendo,"Adventures of Dr. Franken, The (USA)",4.14,22,"['Action', 'Platformer']"
super_nintendo,"Adventures of Kid Kleets, The (USA) (En,Fr,Es)",4.77,13,"['Action', 'Platformer']"
super_nintendo,"Adventures of Rocky and Bullwinkle and Friends, The (USA)",4.25,16,['Action']
super_nintendo,"Adventures of Tintin, The - Prisoners of the Sun (Europe) (En,Fr,De,Es)",4.47,32,['Action']
super_nintendo,Adventures of Yogi Bear (USA),4.52,27,['Action']
super_nintendo,Aero Fighters (USA),4.28,254,"[""Shoot 'Em Up""]"
super_nintendo,Aero the Acro-Bat (Europe),4.74,19,"['Action', 'Platformer']"
super_nintendo,Aero the Acro-Bat (USA),4.49,135,"['Action', 'Platformer']"
super_nintendo,Aero the Acro-Bat 2 (Europe),4.62,21,"['Action', 'Platformer']"
super_nintendo,Aero the Acro-Bat 2 (USA),4.81,27,"['Action', 'Platformer']"
super_nintendo,Aerobiz (USA),4.48,25,"['Strategy', 'Simulation']"
super_nintendo,Aerobiz Supersonic (USA),4.58,91,"['Strategy', 'Simulation']"
super_nintendo,Aging Cassette (Japan),5,9,[]
super_nintendo,Aguri Suzuki F-1 Super Driving (Europe),4.73,11,[]
super_nintendo,AIII S.V. - A Ressha de Ikou 3 Super Version (Japan),4.31,13,[]
super_nintendo,Air Cavalry (Europe),4.88,8,"['Action', 'Flight Simulator', 'Vehicular Combat']"
super_nintendo,Air Cavalry (USA),4.58,12,"['Action', 'Flight Simulator', 'Vehicular Combat']"
super_nintendo,Air Management - Oozora ni Kakeru (Japan),4.43,7,[]
super_nintendo,Air Management - Oozora ni Kakeru (Japan) (Rev A),5,5,[]
super_nintendo,Air Management II - Koukuu Ou o Mezase (Japan),4.78,23,[]
super_nintendo,Air Strike Patrol (USA),4.59,27,"['Action', ""Shoot 'Em Up""]"
super_nintendo,Akazukin Chacha (Japan),5,11,['Role-Playing']
super_nintendo,Akumajou Dracula (Japan),4.72,68,[]
super_nintendo,Akumajou Dracula XX (Japan),4.85,20,[]
super_nintendo,Al Unser Jr.'s Road to the Top (Europe),4.67,6,['Driving/Racing']
super_nintendo,Al Unser Jr.'s Road to the Top (USA),4.83,6,['Driving/Racing']
super_nintendo,Aladdin (Europe),4.4,140,"['Action', 'Adventure', 'Platformer']"
super_nintendo,Aladdin (France),4.23,163,"['Action', 'Adventure', 'Platformer']"
super_nintendo,Aladdin (Germany),4.52,301,"['Action', 'Adventure', 'Platformer']"
super_nintendo,Aladdin (Japan),4.52,96,"['Action', 'Adventure', 'Platformer']"
super_nintendo,Aladdin (Spain),4.43,258,"['Action', 'Adventure', 'Platformer']"
super_nintendo,Aladdin (USA),4.5,1583,"['Action', 'Adventure', 'Platformer']"
super_nintendo,Aladdin (USA) (Beta),4.66,29,"['Action', 'Adventure', 'Platformer']"
super_nintendo,Albert Odyssey (Japan),4.74,19,"['Strategy', 'Role-Playing']"
super_nintendo,Albert Odyssey 2 - Jashin no Taidou (Japan),4.62,13,[]
super_nintendo,Alcahest (Japan),4.88,16,"['Role-Playing', 'Action-Adventure']"
super_nintendo,Alcahest (Japan) [En by FH v1.0Beta],5,17,"['Role-Playing', 'Action-Adventure']"
super_nintendo,Alfred Chicken (Europe),5,12,"['Action', 'Platformer']"
super_nintendo,Alice no Paint Adventure (Japan),4.88,8,"['Adventure', 'Role-Playing', 'Simulation', 'Compilation', 'Text Adventure']"
super_nintendo,Alien 3 (Europe),4.68,41,['Action']
super_nintendo,Alien 3 (Japan),4.91,11,['Action']
super_nintendo,Alien 3 (USA),4.66,90,['Action']
super_nintendo,Alien 3 (USA) (Beta),4.57,7,['Action']
super_nintendo,Alien vs. Predator (Europe),4.43,28,"['Action', 'Brawler']"
super_nintendo,Alien vs. Predator (USA),4.46,48,"['Action', 'Brawler']"
super_nintendo,Aliens vs. Predator (Japan),4.36,14,[]
super_nintendo,All-American Championship Football (Europe),5,7,[]
super_nintendo,"Amazing Spider-Man, The - Lethal Foes (Japan)",4.44,27,"['Action', 'Brawler']"
super_nintendo,America Oudan Ultra Quiz (Japan),4.83,6,[]
super_nintendo,American Battle Dome (Japan),4.67,6,[]
super_nintendo,American Gladiators (USA),4.6,10,"['Action', 'Sports', 'Simulation']"
super_nintendo,"American Tail, An - Fievel Goes West (Europe)",5,11,['Adventure']
super_nintendo,"American Tail, An - Fievel Goes West (USA)",4.88,17,['Adventure']
super_nintendo,Andre Agassi Tennis (Japan),5,4,"['Sports', 'Tennis']"
super_nintendo,Andre Agassi Tennis (USA),4.8,10,"['Sports', 'Tennis']"
super_nintendo,Angelique - Premium Box (Japan),4.57,7,[]
super_nintendo,Angelique - Voice Fantasy (Japan),5,7,"['Adventure', 'Simulation']"
super_nintendo,Angelique (Japan),4.7,10,"['Adventure', 'Simulation']"
super_nintendo,Animal Buranden - Brutal (Japan),4.57,7,[]
super_nintendo,Animaniacs (Europe),4.75,20,"['Action', 'Platformer']"
super_nintendo,Animaniacs (Japan),5,5,"['Action', 'Platformer']"
super_nintendo,Animaniacs (USA),4.66,71,"['Action', 'Platformer']"
super_nintendo,Another World (Europe),4.72,50,"['Adventure', 'Role-Playing']"
super_nintendo,Aoki Densetsu Shoot! (Japan),4.6,10,['Soccer']
